run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23861,coin,PI-SIDIS,LH2,-1.531,-3.632,CTime.ePiCoinTime_ROC2,184441,7924,51.155,0.349904,7924,1,0,1,3,2.37454,3,0.791515,3.64286e-06,51.155,0.349904,,OK
23862,coin,PI-SIDIS,LD2,-1.531,-3.632,CTime.ePiCoinTime_ROC2,280478,9163,51.1678,0.359673,9163,1,0,1,3,8.96852,3,2.98951,6.44756e-08,51.1678,0.359673,,OK
23864,coin,PI-SIDIS,C,-1.531,-3.632,CTime.ePiCoinTime_ROC2,233559,8069,51.1272,0.305753,8069,1,0,1,3,5.29676,3,1.76559,4.86308e-06,51.1272,0.305753,,OK
23865,coin,PI-SIDIS,Cu,-1.531,-3.632,CTime.ePiCoinTime_ROC2,171320,5565,51.2071,0.338342,5565,1,0,1,3,2.1475,3,0.715833,3.07561e-07,51.2071,0.338342,,OK
23866,coin,PI-SIDIS,Dummy,-1.531,-3.632,CTime.ePiCoinTime_ROC2,68833,2514,51.2663,0.357055,2514,1,0,1,3,4.17049,3,1.39016,4.20502e-08,51.2663,0.357055,,OK
23867,coin,PI-SIDIS,LH2,-1.531,-3.632,CTime.ePiCoinTime_ROC2,138591,6040,51.2194,0.363803,6040,1,0,1,3,6.23473,3,2.07824,3.21131e-07,51.2194,0.363803,,OK
23868,coin,PI-SIDIS,LH2,-1.531,-3.632,CTime.ePiCoinTime_ROC2,162532,7008,51.1946,0.359201,7008,1,0,1,3,2.4687,3,0.8229,8.12144e-06,51.1946,0.359201,,OK
23876,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,123411,8218,51.4061,0.318268,8218,1,0,1,3,3.90124,3,1.30041,6.01662e-08,51.4061,0.318268,,OK
23878,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,131436,6041,51.415,0.321676,6041,1,0,1,3,0.234379,3,0.0781264,1.54022e-07,51.415,0.321676,,OK
23879,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,81476,4563,51.3911,0.30661,4563,1,0,1,3,5.09289,3,1.69763,4.83843e-06,51.3911,0.30661,,OK
23880,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,867791,4448,51.3683,0.285455,4448,1,0,1,3,1.44856,3,0.482853,5.30149e-07,51.3683,0.285455,,OK
23881,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,75586,5087,51.3884,0.305964,5087,1,0,1,3,3.50834,3,1.16945,5.06734e-09,51.3884,0.305964,,OK
23882,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,86326,5686,51.3792,0.306807,5686,1,0,1,3,8.64176,3,2.88059,1.30372e-08,51.3792,0.306807,,OK
23883,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,84065,5623,51.3753,0.307456,5623,1,0,1,3,5.82297,3,1.94099,1.19531e-05,51.3753,0.307456,,OK
23884,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,90683,6006,51.3853,0.295397,6006,1,0,1,3,2.43399,3,0.811328,1.21787e-05,51.3853,0.295397,,OK
23885,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,23542,1802,51.3871,0.279677,1802,1,0,1,3,13.088,3,4.36265,5.96855e-08,51.3871,0.279677,,OK
23886,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,117387,5445,51.3894,0.313846,5445,1,0,1,3,1.72994,3,0.576647,4.16914e-06,51.3894,0.313846,,OK
23887,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,115426,5430,51.3891,0.272348,5430,1,0,1,3,1.35263,3,0.450876,9.65963e-09,51.3891,0.272348,,OK
