run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23853,hms,HMSDIS,LH2,-4.5,-4.5,H.gtr.beta,1345045,509529,0.999177,0.0289238,509529,1,0,1,3,8.84811,10,0.884811,7.99938e-08,0.999177,0.0289238,,OK
23855,hms,HMSDIS,LH2,-4.5,-4.5,H.gtr.beta,1371303,763030,0.9992,0.0290452,763030,1,0,1,3,10.6279,10,1.06279,1.78276e-07,0.9992,0.0290452,,OK
23857,hms,HMSDIS,LH2,-4.5,-4.5,H.gtr.beta,1839480,696748,0.999145,0.028978,696748,1,0,1,3,20.6054,10,2.06054,1.59404e-07,0.999145,0.028978,,OK
23858,hms,HMSDIS,LH2,-4.5,-4.5,H.gtr.beta,2380167,902547,0.999204,0.0288349,902547,1,0,1,3,26.0614,10,2.60614,1.41954e-07,0.999204,0.0288349,,OK
23859,hms,HMSDIS,LH2,-4.5,-4.5,H.gtr.beta,2570960,1407163,0.999356,0.0293795,1.40716e+06,1,0,1,3,46.5107,10,4.65107,6.96733e-08,0.999356,0.0293795,,OK
23860,hms,HMSDIS,Dummy,-4.5,-4.5,H.gtr.beta,2322599,1248747,0.999182,0.0288536,1.24875e+06,1,0,1,3,16.1592,10,1.61592,2.29138e-07,0.999182,0.0288536,,OK
23909,hms,HMSDIS,LH2,-1.531,-2.615,H.gtr.beta,1513976,246954,1.00119,0.029063,246954,1,0,1,3,16.9818,10,1.69818,6.07791e-07,1.00119,0.029063,,OK
23918,hms,HMSDIS,LD2,-1.531,-2.615,H.gtr.beta,402725,46835,1.00096,0.0305614,46835,1,0,1,3,15.6126,10,1.56126,8.86208e-08,1.00096,0.0305614,,OK
23919,hms,HMSDIS,LD2,-1.531,-2.615,H.gtr.beta,1289127,150052,1.00117,0.0290657,150052,1,0,1,3,14.9683,10,1.49683,3.68929e-07,1.00117,0.0290657,,OK
23925,hms,HMSDIS,Dummy,-1.531,-2.615,H.gtr.beta,1007468,132311,1.00171,0.030267,132311,1,0,1,3,14.7863,10,1.47863,2.00236e-09,1.00171,0.030267,,OK
23934,hms,HMSDIS,C,-1.531,-2.615,H.gtr.beta,2240653,295302,1.00108,0.0290351,295302,1,0,1,3,5.65313,10,0.565313,7.55712e-08,1.00108,0.0290351,,OK
23938,hms,HMSDIS,Cu,-1.531,-2.615,H.gtr.beta,1360135,175394,1.00122,0.0289352,175394,1,0,1,3,13.3829,10,1.33829,3.8394e-08,1.00122,0.0289352,,OK
23963,hms,HMSDIS,LH2,-1.531,-6.538,H.gtr.beta,1403361,228402,1.00114,0.0292727,228402,1,0,1,3,13.8104,10,1.38104,6.65186e-09,1.00114,0.0292727,,OK
23968,hms,HMSDIS,Dummy,-1.531,-6.538,H.gtr.beta,1464003,191391,1.00143,0.0298284,191391,1,0,1,3,26.4476,10,2.64476,2.95603e-07,1.00143,0.0298284,,OK
23971,hms,HMSDIS,C,-1.531,-6.538,H.gtr.beta,1326354,172347,1.00077,0.0291111,172347,1,0,1,3,21.944,10,2.1944,5.70878e-08,1.00077,0.0291111,,OK
23976,hms,HMSDIS,Cu,-1.531,-6.538,H.gtr.beta,1026720,130989,1.00111,0.0291265,130989,1,0,1,3,6.24839,10,0.624839,5.77778e-08,1.00111,0.0291265,,OK
24017,hms,HMSDIS,LH2,-1.531,-4.868,H.gtr.beta,1808737,287097,1.00106,0.0293075,287097,1,0,1,3,9.93216,10,0.993216,1.78293e-07,1.00106,0.0293075,,OK
24027,hms,HMSDIS,LD2,-1.531,-4.868,H.gtr.beta,2415849,271687,1.00341,0.0309813,271687,1,0,1,3,32.4803,10,3.24803,2.35112e-07,1.00341,0.0309813,,OK
24044,hms,HMSDIS,C,-1.531,-4.868,H.gtr.beta,1979304,253651,1.0032,0.0297628,253651,1,0,1,3,13.5686,10,1.35686,1.06754e-09,1.0032,0.0297628,,OK
