run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23856,shms,SHMSDIS,LH2,-4.5,-4.5,P.gtr.beta,1289067,383981,0.991974,0.0467115,383981,1,0,1,3,6.98056,10,0.698056,1.57239e-07,0.991974,0.0467115,,OK
23911,shms,SHMSDIS,LH2,-1.531,-2.615,P.gtr.beta,2157438,818011,0.992836,0.0446235,818011,1,0,1,3,13.6432,10,1.36432,2.14382e-06,0.992836,0.0446235,,OK
23912,shms,SHMSDIS,LH2,-1.531,-2.615,P.gtr.beta,1106241,421387,0.993256,0.04613,421387,1,0,1,3,11.2926,10,1.12926,1.8612e-08,0.993256,0.04613,,OK
23913,shms,SHMSDIS,LH2,-1.531,-2.615,P.gtr.beta,1040722,406561,0.993277,0.0462379,406561,1,0,1,3,6.20235,10,0.620235,2.39991e-07,0.993277,0.0462379,,OK
23915,shms,SHMSDIS,LD2,-1.531,-2.615,P.gtr.beta,1979347,693097,0.993569,0.0465921,693097,1,0,1,3,11.2168,10,1.12168,4.09106e-07,0.993569,0.0465921,,OK
23933,shms,SHMSDIS,Dummy,-1.531,-2.615,P.gtr.beta,2190108,835559,0.992954,0.0455564,835559,1,0,1,3,17.7849,10,1.77849,1.86122e-08,0.992954,0.0455564,,OK
23937,shms,SHMSDIS,C,-1.531,-2.615,P.gtr.beta,2101492,767308,0.992633,0.0453816,767308,1,0,1,3,15.3423,10,1.53423,9.07105e-06,0.992633,0.0453816,,OK
23941,shms,SHMSDIS,Cu,-1.531,-2.615,P.gtr.beta,2120697,788582,0.99255,0.045839,788582,1,0,1,3,14.8838,10,1.48838,1.51859e-06,0.99255,0.045839,,OK
24018,shms,SHMSDIS,LH2,-1.531,-4.868,P.gtr.beta,2093780,998151,0.992905,0.0465173,998151,1,0,1,3,13.3653,10,1.33653,9.55521e-08,0.992905,0.0465173,,OK
24031,shms,SHMSDIS,LD2,-1.531,-4.868,P.gtr.beta,2036242,956918,0.993104,0.0463403,956918,1,0,1,3,12.9377,10,1.29377,1.08915e-07,0.993104,0.0463403,,OK
24038,shms,SHMSDIS,Dummy,-1.531,-4.868,P.gtr.beta,1308707,640883,0.992247,0.0456924,640883,1,0,1,3,7.41918,10,0.741918,3.67178e-08,0.992247,0.0456924,,OK
24046,shms,SHMSDIS,C,-1.531,-4.868,P.gtr.beta,2011794,962722,0.993464,0.046372,962722,1,0,1,3,8.15493,10,0.815493,3.44929e-07,0.993464,0.046372,,OK
24053,shms,SHMSDIS,Cu,-1.531,-4.868,P.gtr.beta,1600950,771808,0.992366,0.0455724,771808,1,0,1,3,12.8545,10,1.28545,9.49203e-06,0.992366,0.0455724,,OK
24078,shms,SHMSDIS,Cu,-1.531,-4.868,P.gtr.beta,972162,488678,0.990849,0.0444754,488678,1,0,1,3,21.9374,10,2.19374,1.02667e-08,0.990849,0.0444754,,OK
24119,shms,SHMSDIS,Dummy,-1.531,-3.632,P.gtr.beta,2068169,809684,0.991315,0.0470553,809684,1,0,1,3,26.1933,10,2.61933,4.56812e-06,0.991315,0.0470553,,OK
