run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
27122,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314478,14414,51.395,0.401973,14414,1,0,1,3,3.06556,3,1.02185,5.25189e-07,51.395,0.401973,,OK
27123,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,293272,13333,51.408,0.402235,13333,1,0,1,3,2.07051,3,0.690171,3.11503e-07,51.408,0.402235,,OK
27124,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,315077,14451,51.3866,0.394695,14451,1,0,1,3,1.01467,3,0.338223,5.4196e-08,51.3866,0.394695,,OK
27125,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,268049,12478,51.4031,0.370164,12478,1,0,1,3,7.25096,3,2.41699,2.81324e-06,51.4031,0.370164,,OK
27126,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,125156,5814,51.3786,0.39556,5814,1,0,1,3,2.76106,3,0.920353,8.20792e-06,51.3786,0.39556,,OK
27127,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,451933,20923,51.3948,0.39234,20923,1,0,1,3,3.46547,3,1.15516,2.71217e-06,51.3948,0.39234,,OK
27128,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,102529,4701,51.4228,0.412923,4701,1,0,1,3,1.74714,3,0.58238,6.63505e-08,51.4228,0.412923,,OK
27129,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,517439,23776,51.4033,0.38897,23776,1,0,1,3,2.18273,3,0.727578,4.63107e-06,51.4033,0.38897,,OK
27130,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,306662,14102,51.2801,0.344784,14102,1,0,1,3,1.98036,3,0.660121,9.47399e-06,51.2801,0.344784,,OK
27131,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,321559,14857,51.2783,0.367403,14857,1,0,1,3,5.66657,3,1.88886,1.52152e-06,51.2783,0.367403,,OK
27132,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,763481,2229,51.2528,0.278342,2229,1,0,1,3,3.90759,3,1.30253,1.86782e-07,51.2528,0.278342,,OK
27133,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,3394078,9786,51.3277,0.355635,9786,1,0,1,3,4.30052,3,1.43351,9.84109e-07,51.3277,0.355635,,OK
27135,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,122382,4689,51.2799,0.337711,4689,1,0,1,3,3.05858,3,1.01953,4.32817e-08,51.2799,0.337711,,OK
27136,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,121295,4544,51.3093,0.43297,4544,1,0,1,3,3.698,3,1.23267,5.38297e-07,51.3093,0.43297,,OK
27137,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,119580,4612,51.3496,0.314403,4612,1,0,1,3,3.3031,3,1.10103,2.58419e-08,51.3496,0.314403,,OK
27139,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,287429,12788,51.2554,0.370705,12788,1,0,1,3,1.3864,3,0.462133,7.64399e-06,51.2554,0.370705,,OK
27140,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,308880,14039,51.2482,0.384474,14039,1,0,1,3,0.913202,3,0.304401,2.96381e-06,51.2482,0.384474,,OK
27141,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,314295,14399,51.309,0.322716,14399,1,0,1,3,1.62276,3,0.54092,1.00807e-06,51.309,0.322716,,OK
27142,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,319811,14523,51.2962,0.332744,14523,1,0,1,3,0.906929,3,0.30231,1.52397e-06,51.2962,0.332744,,OK
27143,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,311781,14194,51.2374,0.385271,14194,1,0,1,3,11.4928,3,3.83094,4.85539e-07,51.2374,0.385271,,OK
27144,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,307212,13878,51.2412,0.354106,13878,1,0,1,3,9.24766,3,3.08255,1.41439e-06,51.2412,0.354106,,OK
27145,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,280256,12674,51.3162,0.367922,12674,1,0,1,3,0.717533,3,0.239178,7.2823e-07,51.3162,0.367922,,OK
27146,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,353716,16126,51.2676,0.363909,16126,1,0,1,3,9.5211,3,3.1737,3.16738e-06,51.2676,0.363909,,OK
27147,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,316450,14527,51.2508,0.351208,14527,1,0,1,3,3.60047,3,1.20016,1.12531e-05,51.2508,0.351208,,OK
27148,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,72673,3144,51.2578,0.411253,3144,1,0,1,3,11.493,3,3.831,1.16732e-05,51.2578,0.411253,,OK
27149,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,195168,8899,51.2689,0.380421,8899,1,0,1,3,2.284,3,0.761333,5.51488e-06,51.2689,0.380421,,OK
27150,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,111765,4183,51.308,0.315309,4183,1,0,1,3,0.341316,3,0.113772,6.53136e-08,51.308,0.315309,,OK
27151,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,108022,4049,51.347,0.381829,4049,1,0,1,3,4.42455,3,1.47485,1.15043e-06,51.347,0.381829,,OK
27152,coin,PI-SIDIS,Dummy,-1.165,-2.766,CTime.ePiCoinTime_ROC2,92921,3533,51.2592,0.270968,3533,1,0,1,3,1.42235,3,0.474115,7.10783e-07,51.2592,0.270968,,OK
27153,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,101744,4474,51.2364,0.32527,4474,1,0,1,3,16.3657,3,5.45525,2.02448e-11,51.2364,0.32527,,OK
27154,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,345175,15609,51.4705,0.374406,15609,1,0,1,3,5.02918,3,1.67639,3.53393e-07,51.4705,0.374406,,OK
27155,coin,PI-SIDIS,LH2,-1.165,-2.766,CTime.ePiCoinTime_ROC2,282427,12745,51.4952,0.372531,12745,1,0,1,3,5.85349,3,1.95116,8.54321e-07,51.4952,0.372531,,OK
