Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:00:000:IMon,403.5,403.5,0.0,MATCH
hchv13:00:000:V0Set,1115,1115,0,MATCH
hchv13:00:000:VMon,1115,1115,0,MATCH
hchv13:00:001:IMon,512.5,513,-0.5,MATCH
hchv13:00:001:V0Set,1420,1420,0,MATCH
hchv13:00:001:VMon,1420.5,1420,0.5,MATCH
hchv13:00:002:IMon,542,541.5,0.5,MATCH
hchv13:00:002:V0Set,1490,1490,0,MATCH
hchv13:00:002:VMon,1490,1490,0,MATCH
hchv13:00:003:IMon,553,553,0,MATCH
hchv13:00:003:V0Set,1525,1525,0,MATCH
hchv13:00:003:VMon,1525.5,1525.5,0.0,MATCH
hchv13:00:004:IMon,533.5,533.5,0.0,MATCH
hchv13:00:004:V0Set,1480,1480,0,MATCH
hchv13:00:004:VMon,1480.5,1480,0.5,MATCH
hchv13:00:005:IMon,511.5,511.5,0.0,MATCH
hchv13:00:005:V0Set,1415,1415,0,MATCH
hchv13:00:005:VMon,1415.5,1415,0.5,MATCH
hchv13:00:006:IMon,517.5,517.5,0.0,MATCH
hchv13:00:006:V0Set,1435,1435,0,MATCH
hchv13:00:006:VMon,1435.5,1435,0.5,MATCH
hchv13:00:007:IMon,452.5,452.5,0.0,MATCH
hchv13:00:007:V0Set,1255,1255,0,MATCH
hchv13:00:007:VMon,1256,1255,1,MATCH
hchv13:00:008:IMon,573.5,573,0.5,MATCH
hchv13:00:008:V0Set,1590,1590,0,MATCH
hchv13:00:008:VMon,1590,1590,0,MATCH
hchv13:00:009:IMon,522.5,522.5,0.0,MATCH
hchv13:00:009:V0Set,1450,1450,0,MATCH
hchv13:00:009:VMon,1450.5,1450,0.5,MATCH
hchv13:00:010:IMon,554,554,0,MATCH
hchv13:00:010:V0Set,1540,1540,0,MATCH
hchv13:00:010:VMon,1541,1540.5,0.5,MATCH
hchv13:00:011:IMon,498.5,498,0.5,MATCH
hchv13:00:011:V0Set,1385,1385,0,MATCH
hchv13:00:011:VMon,1386,1386,0,MATCH
hchv13:00:012:IMon,521,521,0,MATCH
hchv13:00:012:V0Set,1445,1445,0,MATCH
hchv13:00:012:VMon,1445,1445,0,MATCH
hchv13:00:013:IMon,504,503.5,0.5,MATCH
hchv13:00:013:V0Set,1400,1400,0,MATCH
hchv13:00:013:VMon,1400.5,1400.5,0.0,MATCH
hchv13:00:014:IMon,518,518,0,MATCH
hchv13:00:014:V0Set,1435,1435,0,MATCH
hchv13:00:014:VMon,1435.5,1435.5,0.0,MATCH
hchv13:00:015:IMon,467,467,0,MATCH
hchv13:00:015:V0Set,1295,1295,0,MATCH
hchv13:00:015:VMon,1295.5,1295.5,0.0,MATCH
hchv13:00:016:IMon,498.5,498,0.5,MATCH
hchv13:00:016:V0Set,1380,1380,0,MATCH
hchv13:00:016:VMon,1381,1380.5,0.5,MATCH
hchv13:00:017:IMon,550,550.5,-0.5,MATCH
hchv13:00:017:V0Set,1520,1520,0,MATCH
hchv13:00:017:VMon,1520.5,1520.5,0.0,MATCH
hchv13:00:018:IMon,504.5,504.5,0.0,MATCH
hchv13:00:018:V0Set,1400,1400,0,MATCH
hchv13:00:018:VMon,1400.5,1400.5,0.0,MATCH
hchv13:00:019:IMon,574,574,0,MATCH
hchv13:00:019:V0Set,1595,1595,0,MATCH
hchv13:00:019:VMon,1596,1595.5,0.5,MATCH
hchv13:00:020:IMon,517.5,517.5,0.0,MATCH
