Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:14:022:V0Set,1700,1340,360,MISMATCH
hchv13:14:023:V0Set,1650,1315,335,MISMATCH
hchv14:10:000:V0Set,2050,2030,20,MISMATCH
hchv14:10:000:VMon,2050,2030.5,19.5,MISMATCH
hchv14:10:001:IMon,0,363,-363,MISMATCH
hchv14:10:001:VMon,0.5,1790.5,-1790.0,MISMATCH
hchv14:10:020:IMon,0,272.5,-272.5,MISMATCH
hchv14:10:020:VMon,0,1700.5,-1700.5,MISMATCH
hchv14:10:021:IMon,0,269.5,-269.5,MISMATCH
hchv14:10:021:VMon,0.5,1680.5,-1680.0,MISMATCH
hchv14:10:022:IMon,0.5,258,-257.5,MISMATCH
hchv14:10:022:VMon,0.5,1610.5,-1610.0,MISMATCH
hchv14:10:023:IMon,0,248,-248,MISMATCH
hchv14:10:023:VMon,0.5,1550,-1549.5,MISMATCH
hchv15:02:005:IMon,2420.13,2414.07,6.06,MISMATCH
hchv16:14:000:IMon,1097.26,1084.99,12.27,MISMATCH
