category,run,BCM2_I,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowsNs,CoinYield,CoinYieldErr,RandomMeanYield,RandomMeanYieldErr,Nnet_myCTime,NnetErr_myCTime,yield_myCTime,yieldErr_myCTime,normyield_bigtable,normyieldErr_bigtable,ratio_myCTime_over_bigtable
signal,24442,16.031,28.924,1,0.9985,1.01174,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",275.7,6.43079,98.175,1.91874,177.525,6.71093,6.21902,0.235096,37.8535,1.4465,0.164292
signal,24443,15.95,26.971,1,0.9987,1.01164,"ps5",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",257.85,6.21912,85.3875,1.78942,172.462,6.47144,6.47724,0.24305,43.7288,1.58738,0.148123
signal,24444,15.896,26.509,1,0.999,1.0116,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",244.95,6.06156,88.0875,1.81749,156.863,6.32817,5.99193,0.241728,36.3411,1.47923,0.16488
signal,24445,16.252,4.618,1,0.999,1.01186,"ps6",1,51.275,50.275,52.275,"42.275:44.275|58.275:60.275|38.275:40.275|62.275:64.275",46.35,2.63676,16.05,0.775806,30.3,2.74852,6.64577,0.60284,38.7038,3.63115,0.171708
signal,24446,16.022,15.082,1,0.9985,1.0117,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",134.1,4.48497,48.15,1.34374,85.95,4.68195,5.77416,0.314535,33.3447,1.90997,0.173166
signal,24447,15.956,24.499,1,0.9985,1.01164,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",228.75,5.85769,82.575,1.75971,146.175,6.11629,6.04511,0.252941,36.8975,1.53623,0.163835
signal,24448,16.234,9.922,1,0.9989,1.0118,"ps6",1,51.275,50.275,52.275,"42.275:44.275|58.275:60.275|38.275:40.275|62.275:64.275",97.65,3.82721,32.5875,1.10546,65.0625,3.98366,6.64208,0.406683,39.8661,2.47207,0.16661
signal,24449,15.751,28.492,1,0.999,1.01143,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",262.65,6.27674,94.725,1.88472,167.925,6.5536,5.9671,0.232878,36.7402,1.43956,0.162413
signal,24450,15.964,28.79,1,0.9985,1.01161,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",269.85,6.36219,93.825,1.87575,176.025,6.63294,6.19435,0.233414,37.7531,1.43557,0.164075
signal,24451,15.996,26.282,1,0.9986,1.01162,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",255.9,6.19556,87.525,1.81168,168.375,6.45501,6.49001,0.248808,38.1307,1.51205,0.170204
signal,24452,16.331,29.503,1,0.9988,1.01188,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",276.15,6.43603,94.9875,1.88733,181.162,6.70705,6.22091,0.230312,36.9682,1.40567,0.168277
signal,24453,16.1,28.126,1,0.9987,1.0117,"ps6",1,51.275,50.275,52.275,"42.275:44.275|58.275:60.275|38.275:40.275|62.275:64.275",281.25,6.49519,93.3375,1.87087,187.912,6.75926,6.76807,0.243449,39.1722,1.47659,0.172777
signal,24454,8.084,15.504,1,0.9988,1.00579,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",132.75,4.46234,26.6625,0.999922,106.088,4.573,6.89047,0.29702,42.7016,1.86426,0.161363
signal,24508,15.863,19.163,1,0.999,1.01157,"ps6",1,51.275,50.275,52.275,"42.275:44.275|58.275:60.275|38.275:40.275|62.275:64.275",176.25,5.14174,61.425,1.51771,114.825,5.36106,6.06744,0.283282,36.2058,1.74321,0.167582
signal,24509,16.186,28.165,1,0.9984,1.01163,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",247.35,6.09118,93.225,1.86974,154.125,6.37169,5.54473,0.229225,34.3535,1.42328,0.161402
signal,24510,15.99,25.465,1,0.9987,1.01148,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",235.05,5.9378,85.2,1.78746,149.85,6.20101,5.95986,0.246627,35.2265,1.50327,0.169187
signal,24511,16.307,28.926,1,0.9988,1.0118,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",272.7,6.3957,94.425,1.88174,178.275,6.66678,6.24337,0.233477,37.1467,1.4278,0.168073
signal,24512,8.186,15.425,1,0.9983,1.0059,"ps6",1,51.125,50.125,52.125,"42.125:44.125|58.125:60.125|38.125:40.125|62.125:64.125",128.1,4.38349,25.5375,0.978599,102.562,4.4914,6.69974,0.293394,39.8969,1.82765,0.167926
