category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24611,33.247,56.1375,3.728,0.151606,8.5108,0.565188,6.686,1,0.998,1.01161,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24611_-1.root",OK
signal,24612,38.607,583.388,11.8777,0.014595,8.51453,0.173354,69.538,1,0.9986,1.01348,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24612_-1.root",OK
signal,24613,37.769,566.738,11.693,0.0148495,8.41578,0.173635,68.34,1,0.9984,1.01319,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24613_-1.root",OK
signal,24614,36.268,572.362,11.6574,0.0154987,8.87088,0.180675,65.437,1,0.9985,1.01267,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24614_-1.root",OK
signal,24615,38.531,563.812,11.6892,0.0151156,8.52236,0.17669,67.148,1,0.9985,1.01346,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24615_-1.root",OK
signal,24616,39.451,554.438,11.5434,0.0152226,8.43999,0.17572,66.697,1,0.9985,1.01378,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24616_-1.root",OK
signal,24617,39.469,572.362,11.8096,0.0148914,8.5233,0.175862,68.174,1,0.9986,1.01379,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24617_-1.root",OK
signal,24618,38.992,501.338,11.0323,0.0167485,8.39664,0.184775,60.605,1,0.9986,1.01362,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24618_-1.root",OK
signal,24619,25.56,156.412,5.65106,0.0465861,7.28664,0.263261,21.692,1,0.9984,1.00893,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24619_-1.root",OK
signal,24620,27.659,24.4875,2.33797,0.351781,8.61424,0.822453,2.871,1,0.9997,1.00966,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24620_-1.root",OK
signal,24621,27.141,387.15,9.11304,0.0220728,8.54548,0.20115,45.812,1,0.9983,1.00948,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24621_-1.root",OK
signal,24622,12.804,212.212,6.16427,0.0457222,9.70283,0.281844,21.991,1,0.999,1.00447,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24622_-1.root",OK
signal,24666,40.978,775.05,13.6981,0.0110659,8.57662,0.151582,91.799,1,0.9985,1.01431,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24666_-1.root",OK
signal,24667,38.045,527.362,11.1846,0.0166219,8.76575,0.185909,61.065,1,0.9983,1.01329,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24667_-1.root",OK
signal,24668,39.576,595.5,12.0035,0.0142645,8.49452,0.171224,71.187,1,0.9984,1.01382,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24668_-1.root",OK
signal,24669,38.904,614.737,12.146,0.0141403,8.69256,0.171748,71.803,1,0.9983,1.01359,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24669_-1.root",OK
signal,24670,36.047,552.188,11.4786,0.0155418,8.58201,0.178399,65.257,1,0.9984,1.01259,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24670_-1.root",OK
signal,24671,40.04,570.975,11.7234,0.0148216,8.46277,0.17376,68.536,1,0.9982,1.01399,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24671_-1.root",OK
signal,24672,27.486,548.812,10.8261,0.0163154,8.9541,0.176632,61.967,1,0.9986,1.0096,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24672_-1.root",OK
