category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,23977,29.167,121.913,4.84157,0.0216393,2.6381,0.104768,47.115,1,0.999,1.01851,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23977_-1.root",OK
signal,23979,30.038,80.625,4.00215,nan,nan,nan,33.257,1,0.999,-999,"ps5",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23979_-1.root",BADMETA
signal,23985,31.987,131.663,5.07415,0.0185958,2.44836,0.0943577,55.034,1,0.9988,1.02217,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23985_-1.root",OK
signal,23986,30.136,131.325,5.03646,0.0191759,2.51827,0.0965785,53.253,1,0.9984,1.01954,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23986_-1.root",OK
signal,23987,29.341,114.562,4.7174,0.0215241,2.46585,0.101538,47.437,1,0.9987,1.01971,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23987_-1.root",OK
signal,23988,30.64,115.5,4.77002,0.0202485,2.3387,0.0965857,50.418,1,0.9991,1.01997,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23988_-1.root",OK
signal,23989,37.097,158.363,5.709,0.0158183,2.50503,0.0903067,64.804,1,0.9986,1.02365,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23989_-1.root",OK
signal,23990,19.449,97.8375,4.13708,0.028939,2.83132,0.119723,35.07,1,0.9991,1.01398,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23990_-1.root",OK
signal,23991,9.788,49.5375,2.84086,0.0608695,3.01532,0.172922,16.563,1,0.9992,1.00737,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23991_-1.root",OK
signal,24011,35.708,151.2,5.56569,0.0163469,2.47165,0.0909816,62.746,1,0.9985,1.02416,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24011_-1.root",OK
signal,24012,36.36,141.525,5.44021,0.0163161,2.30913,0.0887628,62.692,1,0.999,1.02186,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24012_-1.root",OK
signal,24013,38.48,156.3,5.69852,0.0149507,2.33679,0.0851966,68.669,1,0.9988,1.02541,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24013_-1.root",OK
signal,24014,36.365,144.675,5.56493,0.0157851,2.2837,0.0878428,65.078,1,0.9988,1.02603,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24014_-1.root",OK
signal,24015,25.254,115.725,4.66178,0.021857,2.52941,0.101893,46.658,1,0.9981,1.01787,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24015_-1.root",OK
signal,24016,12.831,60.525,3.21408,0.0414221,2.50707,0.133134,24.408,1,0.9985,1.00951,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24016_-1.root",OK
signal,24054,36.176,147.675,5.53452,0.0166609,2.4604,0.0922102,61.464,1,0.9988,1.02282,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24054_-1.root",OK
signal,24055,31.63,144.188,5.4877,0.0162852,2.34812,0.0893682,62.728,1,0.9986,1.02011,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24055_-1.root",OK
signal,24056,37.46,162.788,5.74362,0.0158522,2.58053,0.0910488,64.73,1,0.9985,1.02457,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24056_-1.root",OK
signal,24057,35.033,134.438,5.28404,0.0176403,2.37151,0.0932118,58.088,1,0.9983,1.02294,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24057_-1.root",OK
signal,24058,25.039,97.6125,4.29158,0.0262904,2.56627,0.112827,38.77,1,0.9984,1.01765,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24058_-1.root",OK
signal,24059,13.132,57.3375,3.13994,0.0438343,2.51335,0.137637,23.072,1,0.9984,1.00973,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24059_-1.root",OK
signal,24081,35.267,156.488,5.58574,0.016069,2.5146,0.0897573,63.848,1,0.9986,1.02454,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24081_-1.root",OK
signal,24082,35.751,143.812,5.46845,0.0167448,2.40812,0.0915683,61.145,1,0.9985,1.02233,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24082_-1.root",OK
positron,24584,37.947,0.3,1.01181,0.0164354,0.00493063,0.0166295,62.66,1,0.9973,1.02706,"ps6",1,79.175,78.175,80.175,"70.175-72.175;66.175-68.175","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24584_-1.root",OK
dummy,23981,39.162,106.275,4.51653,0.0144018,1.53056,0.0650464,69.512,1,0.9989,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23981_-1.root",OK
