category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24913,36.988,3581.66,27.2862,0.0144275,51.6745,0.393673,71.284,1,0.9984,1.02681,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24913_-1.root",OK
signal,24914,38.346,1364.1,16.8593,0.036759,50.143,0.619732,28.006,1,0.9984,1.02783,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24914_-1.root",OK
signal,24915,36.572,2278.76,21.7168,0.0230585,52.5448,0.500756,44.598,1,0.9984,1.02672,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24915_-1.root",OK
signal,24916,37.744,2154.6,21.1143,0.0244049,52.5829,0.515294,42.156,1,0.9982,1.02696,"ps5",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24916_-1.root",OK
signal,24917,24.059,293.1,7.44203,0.180468,52.8951,1.34305,5.648,1,0.9982,1.01745,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24917_-1.root",OK
signal,24920,24.862,2583.15,22.0625,0.0211308,54.5839,0.466197,48.252,1,0.9985,1.01807,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24920_-1.root",OK
signal,24921,12.745,1299.64,14.8645,0.0430351,55.93,0.639696,23.492,1,0.9984,1.00936,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24921_-1.root",OK
signal,24948,35.994,3935.63,28.5412,0.0128137,50.4301,0.365719,80.201,1,0.9984,1.02603,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24948_-1.root",OK
signal,24949,37.802,3671.62,27.5932,0.0143587,52.7198,0.396203,71.661,1,0.9984,1.02731,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24949_-1.root",OK
signal,24950,25.106,2491.5,21.7112,0.0214113,53.3463,0.464865,47.622,1,0.9986,1.01822,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24950_-1.root",OK
signal,24951,12.417,1509.82,16.0076,0.0367809,55.5327,0.588774,27.474,1,0.9986,1.0091,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24951_-1.root",OK
dummy,24924,37.695,2077.31,20.4065,0.013497,28.0376,0.275428,74.209,1,0.9984,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24924_-1.root",OK
dummy,24952,39.088,2475.41,22.3372,0.0112113,27.7525,0.250428,89.339,1,0.9984,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24952_-1.root",OK
