category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,25146,40.746,1483.76,16.1247,0.0140216,20.8047,0.226094,73.537,1,0.9981,1.02915,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25146_-1.root",OK
signal,25147,37.401,399.562,8.3487,0.0513364,20.5121,0.428592,20.053,1,0.9986,1.02801,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25147_-1.root",OK
signal,25148,40.126,1301.14,15.0479,0.0164418,21.393,0.247414,62.796,1,0.9984,1.03083,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25148_-1.root",OK
signal,25149,43.108,1195.84,14.465,0.0175913,21.0363,0.254459,58.85,1,0.9984,1.03359,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25149_-1.root",OK
signal,25150,44.659,1655.55,17.0578,0.012787,21.1695,0.218119,80.73,1,0.9983,1.03054,"ps5",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25150_-1.root",OK
signal,25151,24.956,950.062,12.4591,0.022531,21.4059,0.280716,45.241,1,0.9986,1.0179,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25151_-1.root",OK
signal,25167,43.694,1542.83,16.3913,0.0138092,21.3052,0.226352,74.796,1,0.9981,1.03091,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25167_-1.root",OK
signal,25168,43.955,1773,17.5362,0.0120382,21.3438,0.211105,85.631,1,0.9984,1.0292,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25168_-1.root",OK
signal,25169,42.468,1490.47,16.0881,0.0141838,21.1405,0.228189,72.752,1,0.9982,1.03004,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25169_-1.root",OK
signal,25170,25.017,950.812,12.4805,0.0226157,21.5033,0.282255,45.072,1,0.9987,1.01801,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25170_-1.root",OK
dummy,25154,36.529,857.85,12.054,0.015674,13.446,0.188935,63.902,1,0.9984,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25154_-1.root",OK
dummy,25171,36.852,805.237,11.6484,0.0171331,13.7962,0.199573,58.466,1,0.9983,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25171_-1.root",OK
