run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,h_EL_CLEAN,p_EL_CLEAN
27106,6.449,LH2,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,38.488,18.024,38.361,17.965,33.843,15.849,217.02,101.63,52.719,24.689,0.0,0.9997,0.9985,0.7674,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.99969,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,20.14
27107,6.449,Dummy,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,66.466,36.708,66.147,36.532,58.403,32.255,258.74,142.9,90.913,50.21,0.9999,0.9996,0.9971,0.7405,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.99998,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,14.589
27108,6.449,Dummy,1.67,47.91,-5.52,13.01,HEE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27109,6.449,LH2,1.67,47.91,-5.52,13.01,HEE,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27113,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,27419.078,28.033,27283.873,27.895,23995.331,24.53,149002.97,152.3,37345.455,38.18,0.9996,0.9984,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,0.99893,95.6526,-999,-999,-999,-999,-999,-999,-999,1.0,0.799,-999
27114,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,21643.945,27.736,21543.523,27.607,18905.657,24.22,117685.3,150.8,29426.549,37.7,0.9766,0.9761,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99897,95.6492,-999,-999,-999,-999,-999,-999,-999,1.0,0.79,-999
27115,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,16390.539,27.379,16317.804,27.257,14354.462,23.97,89033.557,148.7,22364.336,37.35,0.9998,0.9985,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99684,95.6494,-999,-999,-999,-999,-999,-999,-999,1.0,0.781,-999
27116,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,13604.86,26.547,13549.78,26.44,11956.49,23.331,73984.45,144.36,18633.13,36.359,-999,-999,0.9855,0.9793,-999,-999,-999,-999,-999,-999,-999,95.652,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27118,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,24578.551,27.22,24497.881,27.13,21698.749,24.03,133317.89,147.6,33820.725,37.45,0.9996,0.9988,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,0.99992,95.6532,-999,-999,-999,-999,-999,-999,-999,1.0,0.781,-999
27119,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,27946.883,27.507,27837.348,27.399,24679.265,24.29,152121.93,149.7,38472.524,37.86,0.9998,0.9988,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99666,95.6639,-999,-999,-999,-999,-999,-999,-999,1.0,0.788,-999
27120,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,30250.5,27.206,30111.02,27.08,26730.54,24.04,164383.9,147.83,41658.68,37.466,-999,-999,0.9853,0.9782,-999,-999,-999,-999,-999,-999,-999,95.6539,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27121,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,25859.51,28.088,25740.55,27.959,22846.33,24.816,140248.8,152.33,35613.52,38.683,-999,-999,0.9883,0.955,-999,-999,-999,-999,-999,-999,-999,95.6214,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27122,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.571,27.79,51.346,27.668,45.284,24.402,279.75,150.75,70.482,37.98,0.998,0.997,0.9844,0.9767,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99991,-999,1292.0,445.0,847.0,16.9874,0.730385,51.4063,0.432662,1.0,0.797,-999
27123,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,47.752,27.387,47.57,27.283,41.859,24.007,259.82,149.01,65.202,37.395,0.9978,0.9967,0.9849,0.9763,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,-999,1128.0,408.154,719.846,15.5931,0.737578,51.3993,0.43904,1.0,0.786,-999
27124,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.489,27.381,51.317,27.29,45.32,24.101,280.03,148.92,70.655,37.574,0.9979,0.9972,0.9841,0.9767,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,-999,1268.0,437.538,830.462,16.6669,0.724076,51.3947,0.443134,1.0,0.786,-999
27125,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,43.855,27.663,43.66,27.54,38.67,24.393,238.03,150.14,60.299,38.036,0.9983,0.9971,0.9853,0.9759,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99993,-999,1107.0,386.692,720.308,16.9986,0.795658,51.4037,0.443728,1.0,0.794,-999
