# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# reference_lowN: 2
# r_ref: 0.000270580112454
# r_ref_err: 8.29822102295e-06
# N_total: 17
# N_used_in_fit: 17
#REF,ref_index,run,rate_kHz,raw_ratio,raw_ratio_err
#REF,1,24430,867.517,0.000277983963852,1.18497647565e-05
#REF,2,24432,882.385,0.000263455210589,1.16243941045e-05
# fit_model: y = 1 + m * x   (x in kHz)
# m_per_kHz: 2.90561299778e-05
# m_per_kHz_err: 1.44165772011e-05
# tau_ns: -29.0561299778
# tau_ns_err: 14.4165772011
# chi2: 13.1787093781
# ndf: 16
# prob: 0.659648938217

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,scaled_ratio,scaled_ratio_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24428,886.973,10.9149,0.462092,39382.07476,54.37065707,0.0002771540115,1.173979893e-05,1.024295574,0.05356562197,OK,OK,OK,1,""
24429,901.294,10.3588,0.441155,39306.32753,52.19310303,0.0002635402657,1.122896521e-05,0.9739823939,0.05113173092,OK,OK,OK,1,""
24430,867.517,10.9542,0.466701,39405.87021,54.88160334,0.0002779839639,1.184976476e-05,1.027362881,0.05395021738,OK,OK,OK,1,""
24431,883.495,11.4282,0.466082,39245.6504,53.90341936,0.000291196601,1.188274955e-05,1.076193658,0.05493568068,OK,OK,OK,1,""
24432,882.385,10.3489,0.456399,39281.43982,54.27466968,0.0002634552106,1.16243941e-05,0.9736680505,0.05231930594,OK,OK,OK,1,""
24433,897.825,11.6433,0.44478,39091.89297,50.94674549,0.000297844364,1.138442613e-05,1.100762215,0.05394318425,OK,OK,OK,1,""
24434,898.869,11.3933,0.453089,39231.17754,52.34491427,0.0002904144284,1.155570583e-05,1.073302933,0.05392017924,OK,OK,OK,1,""
24435,900.134,11.0891,0.447994,39220.45171,52.12702567,0.0002827376921,1.142863857e-05,1.044931534,0.05301858912,OK,OK,OK,1,""
24436,898.323,10.669,0.439573,39067.56572,51.71455543,0.0002730909849,1.125741531e-05,1.00927959,0.05185588897,OK,OK,OK,1,""
24437,900.05,11.2351,0.446936,39132.17234,52.106246,0.0002871064735,1.142758701e-05,1.061077516,0.05331626688,OK,OK,OK,1,""
24501,886.904,10.1446,0.460351,39016.43879,55.52992148,0.0002600083533,1.180470017e-05,0.9609292823,0.05264817624,OK,OK,OK,1,""
24502,893.843,10.986,0.453715,38998.41863,52.94545855,0.0002817037302,1.164047411e-05,1.041110256,0.05357444691,OK,OK,OK,1,""
24503,908.479,10.5725,0.440097,38949.39577,51.71422579,0.0002714419516,1.130494592e-05,1.003185153,0.05188588645,OK,OK,OK,1,""
24504,892.001,11.2548,0.469699,38920.03029,54.28969253,0.0002891775756,1.207504962e-05,1.068731818,0.05536968665,OK,OK,OK,1,""
24505,896.536,10.6693,0.451432,38935.85123,52.97536917,0.0002740225181,1.160024307e-05,1.012722316,0.05293971187,OK,OK,OK,1,""
24506,908.004,11.4338,0.454003,38923.12526,52.13171559,0.0002937533901,1.167072782e-05,1.085642945,0.05448791536,OK,OK,OK,1,""
24507,894.87,9.83768,0.449504,38989.88258,53.65999089,0.0002523136606,1.153396279e-05,0.9324915209,0.05133111139,OK,OK,OK,1,""
