category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,24611,78914,75002,0.950427,"./Pass0p1_ROOTfiles/coin_replay_production_24611_-1.root",OK
signal,24612,831518,790963,0.951228,"./Pass0p1_ROOTfiles/coin_replay_production_24612_-1.root",OK
signal,24613,815478,775313,0.950747,"./Pass0p1_ROOTfiles/coin_replay_production_24613_-1.root",OK
signal,24614,776244,735878,0.947998,"./Pass0p1_ROOTfiles/coin_replay_production_24614_-1.root",OK
signal,24615,806491,765707,0.94943,"./Pass0p1_ROOTfiles/coin_replay_production_24615_-1.root",OK
signal,24616,805801,765973,0.950573,"./Pass0p1_ROOTfiles/coin_replay_production_24616_-1.root",OK
signal,24617,821845,781353,0.95073,"./Pass0p1_ROOTfiles/coin_replay_production_24617_-1.root",OK
signal,24618,727415,689524,0.94791,"./Pass0p1_ROOTfiles/coin_replay_production_24618_-1.root",OK
signal,24619,143065,136761,0.955936,"./Pass0p1_ROOTfiles/coin_replay_production_24619_-1.root",OK
signal,24620,25509,24401,0.956564,"./Pass0p1_ROOTfiles/coin_replay_production_24620_-1.root",OK
signal,24621,385679,368804,0.956246,"./Pass0p1_ROOTfiles/coin_replay_production_24621_-1.root",OK
signal,24622,100634,97128,0.965161,"./Pass0p1_ROOTfiles/coin_replay_production_24622_-1.root",OK
signal,24666,1.09625e+06,1.0421e+06,0.950602,"./Pass0p1_ROOTfiles/coin_replay_production_24666_-1.root",OK
signal,24667,718845,683721,0.951138,"./Pass0p1_ROOTfiles/coin_replay_production_24667_-1.root",OK
signal,24668,849725,806212,0.948792,"./Pass0p1_ROOTfiles/coin_replay_production_24668_-1.root",OK
signal,24669,854256,812004,0.950539,"./Pass0p1_ROOTfiles/coin_replay_production_24669_-1.root",OK
signal,24670,763532,726130,0.951014,"./Pass0p1_ROOTfiles/coin_replay_production_24670_-1.root",OK
signal,24671,814949,775227,0.951258,"./Pass0p1_ROOTfiles/coin_replay_production_24671_-1.root",OK
signal,24672,533706,510416,0.956362,"./Pass0p1_ROOTfiles/coin_replay_production_24672_-1.root",OK
signal,24673,127949,122954,0.960961,"./Pass0p1_ROOTfiles/coin_replay_production_24673_-1.root",OK
dummy,24641,75978,72892,0.959383,"./Pass0p1_ROOTfiles/coin_replay_production_24641_-1.root",OK
dummy,24642,107504,103123,0.959248,"./Pass0p1_ROOTfiles/coin_replay_production_24642_-1.root",OK
dummy,24643,81762,78534,0.96052,"./Pass0p1_ROOTfiles/coin_replay_production_24643_-1.root",OK
dummy,24684,96611,92490,0.957344,"./Pass0p1_ROOTfiles/coin_replay_production_24684_-1.root",OK
dummy,24685,108271,103812,0.958816,"./Pass0p1_ROOTfiles/coin_replay_production_24685_-1.root",OK
dummy,24686,103216,99177,0.960868,"./Pass0p1_ROOTfiles/coin_replay_production_24686_-1.root",OK
