category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24611,39.965,57.1125,3.73817,0.160605,9.17254,0.600368,6.648,1,0.9992,0.950427,1.01396,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24611_-1.root",OK,1,""
signal,24612,39.214,585.487,11.9039,0.0153166,8.9677,0.182328,69.597,1,0.9997,0.951228,1.0137,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24612_-1.root",OK,1,""
signal,24613,38.342,568.012,11.715,0.0155926,8.85679,0.182667,68.393,1,0.9995,0.950747,1.01339,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24613_-1.root",OK,1,""
signal,24614,37.316,573.675,11.6818,0.0163341,9.37044,0.190812,65.448,1,0.9996,0.947998,1.01303,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24614_-1.root",OK,1,""
signal,24615,39.128,564.188,11.7007,0.0158953,8.96794,0.185986,67.195,1,0.9996,0.94943,1.01367,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24615_-1.root",OK,1,""
signal,24616,39.644,552.825,11.5411,0.0159796,8.83394,0.184423,66.772,1,0.9996,0.950573,1.01385,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24616_-1.root",OK,1,""
signal,24617,39.655,571.088,11.8117,0.0156308,8.92656,0.184626,68.251,1,0.9996,0.95073,1.01385,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24617_-1.root",OK,1,""
signal,24618,39.303,499.988,11.0232,0.0176353,8.81744,0.194397,60.666,1,0.9996,0.94791,1.01373,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24618_-1.root",OK,1,""
signal,24619,27.27,158.325,5.67949,0.0487506,7.71843,0.276878,21.669,1,0.9997,0.955936,1.00953,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24619_-1.root",OK,1,""
signal,24620,27.712,23.85,2.31894,0.367252,8.75896,0.851637,2.877,1,0.999,0.956564,1.00968,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24620_-1.root",OK,1,""
signal,24621,27.296,392.663,9.15561,0.0230171,9.03795,0.210735,45.89,1,0.9995,0.956246,1.00953,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24621_-1.root",OK,1,""
signal,24622,13.222,210.713,6.13913,0.0472986,9.96641,0.290372,22.011,1,0.9998,0.965161,1.00462,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24622_-1.root",OK,1,""
signal,24666,41.029,778.5,13.7262,0.0116138,9.04132,0.159413,91.914,1,0.9996,0.950602,1.01433,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24666_-1.root",OK,1,""
signal,24667,38.926,533.325,11.2299,0.0174501,9.30657,0.195962,61.1,1,0.9995,0.951138,1.0136,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24667_-1.root",OK,1,""
signal,24668,39.671,595.163,12.0052,0.0149983,8.92643,0.180058,71.275,1,0.9996,0.948792,1.01386,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24668_-1.root",OK,1,""
signal,24669,39.973,616.725,12.1695,0.0148583,9.16349,0.180819,71.829,1,0.9995,0.950539,1.01396,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24669_-1.root",OK,1,""
signal,24670,37.774,553.237,11.4891,0.0163389,9.03928,0.18772,65.238,1,0.9995,0.951014,1.01319,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24670_-1.root",OK,1,""
signal,24671,40.187,568.2,11.7207,0.0155432,8.83166,0.182177,68.617,1,0.9995,0.951258,1.01404,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24671_-1.root",OK,1,""
signal,24672,27.591,544.762,10.8058,0.017011,9.26694,0.183817,62.079,1,0.9997,0.956362,1.00964,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24672_-1.root",OK,1,""
signal,24673,14.254,246.975,6.68026,0.0405005,10.0026,0.270554,25.835,1,0.9995,0.960961,1.00498,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24673_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,9.03703,0.0455587,58.5691,19,3.08259,6.50209e-06,20
