# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 26
# N_valid_for_fit1: 26
# N_valid_for_fit2: 26
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000355081232966
# fit1_a_err: 1.52929971514e-05
# fit1_b_per_kHz: -5.31603471086e-08
# fit1_b_err_per_kHz: 1.74327434066e-08
# fit1_chi2: 26.2186376384
# fit1_ndf: 24
# fit1_prob: 0.342165125702
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.000148761594866
# fit2_m_err_per_kHz: 1.06693649833e-05
# tau_ns: 148.761594866
# tau_ns_err: 10.6693649833
# fit2_chi2: 10.7044533649
# fit2_ndf: 25
# fit2_prob: 0.994275449372

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24310,42.134,836.036,878.17,11.6783,0.333804,38877.87816,39.4223349,0.0003003841915,8.591363448e-06,0.8459590754,0.043736748,OK,OK,OK,1,""
24311,43.488,861.865,905.353,12.0207,0.339389,38947.97827,39.58544904,0.0003086347619,8.719549714e-06,0.8691948018,0.04477083292,OK,OK,OK,1,""
24312,43.769,867.472,911.241,11.8618,0.322,38890.46373,37.59489797,0.0003050053628,8.284912856e-06,0.8589734813,0.04373834836,OK,OK,OK,1,""
24313,42.99,852.119,895.109,11.8537,0.283686,38916.47286,33.22292755,0.0003045933798,7.294248681e-06,0.8578132314,0.04227219851,OK,OK,OK,1,""
24314,42.951,851.448,894.399,11.5932,0.347685,38965.60175,40.93208312,0.0002975239565,8.928341966e-06,0.8379039185,0.0439837206,OK,OK,OK,1,""
24315,43.159,855.819,898.978,12.0692,0.377491,38854.57989,44.00385296,0.0003106249002,9.721849703e-06,0.8747995426,0.0465742373,OK,OK,OK,1,""
24316,42.951,851.599,894.55,11.5435,0.344779,38908.66142,40.69447221,0.0002966820132,8.866671628e-06,0.8355327898,0.04380072366,OK,OK,OK,1,""
24317,43.22,856.75,899.97,11.5607,0.334658,38919.21309,39.60989176,0.0002970435187,8.604099128e-06,0.8365508821,0.04341978243,OK,OK,OK,1,""
24318,20.767,419.966,440.733,11.7001,0.70641,38786.68099,91.28122642,0.0003016525184,1.822652588e-05,0.8495310097,0.06303605225,OK,OK,OK,1,""
24376,42.763,847.852,890.615,12.1487,0.427858,38764.4042,49.54165263,0.0003133983419,1.104465882e-05,0.8826102671,0.04911716182,OK,OK,OK,1,""
24377,43.101,854.299,897.4,11.5135,0.33778,38903.86749,39.98677779,0.0002959474403,8.68775414e-06,0.8334640437,0.04344177941,OK,OK,OK,1,""
24378,42.959,851.431,894.39,11.8772,0.375664,38933.33666,44.05940745,0.0003050650424,9.655077363e-06,0.8591415544,0.0459187985,OK,OK,OK,1,""
24379,43.295,857.883,901.178,11.8259,0.343253,38844.50613,40.11734225,0.0003044420223,8.842182594e-06,0.8573869695,0.04453865395,OK,OK,OK,1,""
24380,43.004,852.493,895.497,11.7015,0.338728,38913.68645,39.92623901,0.0003007039699,8.710064142e-06,0.8468596535,0.04395474331,OK,OK,OK,1,""
24381,42.955,851.43,894.385,12.0507,0.340755,38890.21228,39.6928596,0.0003098645981,8.767679035e-06,0.8726583367,0.04496991931,OK,OK,OK,1,""
24382,43.463,861.254,904.717,11.9629,0.337208,38877.31509,39.43545118,0.0003077090065,8.679258457e-06,0.8665876365,0.04461471733,OK,OK,OK,1,""
24383,43.413,860.32,903.733,12.0022,0.337761,38829.42945,39.1961593,0.0003091006015,8.704176927e-06,0.8705067259,0.0447943825,OK,OK,OK,1,""
24384,21.471,433.714,455.185,12.8208,0.444784,38865.12615,55.26946711,0.0003298792843,1.145390659e-05,0.9290248363,0.0513955047,OK,OK,OK,1,""
24415,43.059,849.63,892.689,11.951,0.948227,38710.96142,108.8701669,0.0003087239263,2.451043483e-05,0.8694459116,0.07853048472,OK,OK,OK,1,""
24416,43.175,851.965,895.14,12.127,0.372214,38916.94725,42.6603987,0.0003116123143,9.570414366e-06,0.8775803546,0.04642227082,OK,OK,OK,1,""
24417,43.742,862.978,906.72,12.8333,0.345136,39054.71442,38.88808597,0.0003285979731,8.843298046e-06,0.9254163347,0.04699809313,OK,OK,OK,1,""
24418,43.576,859.704,903.28,12.2454,0.335863,38997.60438,38.50858884,0.0003140039034,8.617980569e-06,0.8843156841,0.04516241597,OK,OK,OK,1,""
24419,43.479,857.831,901.31,12.1998,0.352226,39068.90068,40.4033174,0.0003122637133,9.021290038e-06,0.8794148614,0.04560739176,OK,OK,OK,1,""
24421,42.533,839.467,882,13.7532,0.959869,39040.54454,107.4889542,0.0003522799224,2.460558938e-05,0.9921107895,0.08141053942,OK,OK,OK,1,""
