category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,24213,1737.545,1637.425,1383.541,1175.8,50,0.08687725,0.08187125,0.06917705,0.05879,0.91312275,0.91812875,0.93082295,0.94121,0.970332271433,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24213_-1.report",OK
signal,24214,1728.982,1629.105,1376.722,1171.105,50,0.0864491,0.08145525,0.0688361,0.05855525,0.9135509,0.91854475,0.9311639,0.94144475,0.970600501366,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24214_-1.report",OK
signal,24215,1808.171,1703.687,1440.853,1227.376,50,0.09040855,0.08518435,0.07204265,0.0613688,0.90959145,0.91481565,0.92795735,0.9386312,0.967956745155,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24215_-1.report",OK
signal,24216,1831.998,1726.27,1460.242,1244.838,50,0.0915999,0.0863135,0.0730121,0.0622419,0.9084001,0.9136865,0.9269879,0.9377581,0.967133735717,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24216_-1.report",OK
signal,24217,1758.18,1656.857,1401.3,1194.813,50,0.087909,0.08284285,0.070065,0.05974065,0.912091,0.91715715,0.929935,0.94025935,0.969595730419,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24217_-1.report",OK
signal,24218,1758.441,1657.036,1401.505,1195.176,50,0.08792205,0.0828518,0.07007525,0.0597588,0.91207795,0.9171482,0.92992475,0.9402412,0.969585934308,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24218_-1.report",OK
signal,24219,1257.876,1187.101,1000.363,843.575,50,0.0628938,0.05935505,0.05001815,0.04217875,0.9371062,0.94064495,0.94998185,0.95782125,0.984066811857,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24219_-1.report",OK
signal,24220,641.007,605.809,509.048,424.123,50,0.03205035,0.03029045,0.0254524,0.02120615,0.96794965,0.96970955,0.9745476,0.97879385,0.995737020371,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24220_-1.report",OK
signal,24250,1712.479,1620.566,1370.05,1166.516,50,0.08562395,0.0810283,0.0685025,0.0583258,0.91437605,0.9189717,0.9314975,0.9416742,0.97093875706,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24250_-1.report",OK
signal,24251,1678.431,1586.337,1341.53,1142.376,50,0.08392155,0.07931685,0.0670765,0.0571188,0.91607845,0.92068315,0.9329235,0.9428812,0.972066552803,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24251_-1.report",OK
