# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 16
# N_valid_for_fit1: 16
# N_valid_for_fit2: 16
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.00033110591408
# fit1_a_err: 7.62000309804e-06
# fit1_b_per_kHz: -6.92847694841e-08
# fit1_b_err_per_kHz: 9.3560635895e-09
# fit1_chi2: 31.5522561603
# fit1_ndf: 14
# fit1_prob: 0.00463602082908
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.000209786875527
# fit2_m_err_per_kHz: 7.90542699726e-06
# tau_ns: 209.786875527
# tau_ns_err: 7.90542699726
# fit2_chi2: 12.5992294944
# fit2_ndf: 15
# fit2_prob: 0.633222365479

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24213,844.304,10.7911,0.203404,38834.49432,25.90871567,0.0002778740959,5.240994435e-06,0.8392302406,0.02497148606,OK,OK,OK,1,""
24214,852.217,10.5075,0.223211,38818.7987,28.82625478,0.0002706807102,5.75358703e-06,0.817504909,0.0256109021,OK,OK,OK,1,""
24215,896.571,10.4307,0.195915,38839.77546,25.28596383,0.0002685571653,5.047213869e-06,0.8110914179,0.02409968395,OK,OK,OK,1,""
24216,911.69,9.88209,0.185566,38806.41383,24.2974126,0.0002546509462,4.784495812e-06,0.7690921103,0.02284916133,OK,OK,OK,1,""
24217,862.032,10.3389,0.196563,38785.94817,25.39057081,0.0002665630335,5.070895469e-06,0.8050687775,0.02403799428,OK,OK,OK,1,""
24218,844.755,10.6692,0.203459,38881.73524,25.87153108,0.0002744013335,5.235949862e-06,0.8287418674,0.02477554104,OK,OK,OK,1,""
24219,612.001,11.5877,0.229983,38895.35956,29.95120329,0.0002979198581,5.917313514e-06,0.8997720832,0.02735274037,OK,OK,OK,1,""
24220,303.089,12.0112,0.320422,39079.7833,43.87070126,0.0003073507319,8.206431852e-06,0.9282550351,0.03272087485,OK,OK,OK,1,""
24250,818.448,11.0705,0.207278,38983.01156,26.26508934,0.0002839826775,5.32057812e-06,0.8576792664,0.0254523656,OK,OK,OK,1,""
24251,831.165,10.8348,0.200599,38897.67801,25.56452183,0.0002785461898,5.160342725e-06,0.841260086,0.02485417226,OK,OK,OK,1,""
24252,849.815,10.2502,0.193713,38915.77783,25.34827509,0.0002633944526,4.980705407e-06,0.7954990878,0.02369480224,OK,OK,OK,1,""
24253,876.157,10.5789,0.194916,38970.1483,24.95526178,0.0002714616305,5.004694532e-06,0.8198634304,0.02417588858,OK,OK,OK,1,""
24254,867.599,11.1727,0.198764,39020.24955,25.16201483,0.0002863308187,5.097213222e-06,0.8647710794,0.02516082508,OK,OK,OK,1,""
24255,833.558,10.4758,0.196075,39021.55547,25.52512518,0.0002684618764,5.027854572e-06,0.8108036279,0.02405760665,OK,OK,OK,1,""
24266,600.271,11.0003,0.232757,39035.22476,30.96547818,0.0002818044489,5.966931652e-06,0.8511006203,0.02661610328,OK,OK,OK,1,""
24267,306.188,11.9943,0.31541,39098.86057,42.99486583,0.0003067685305,8.074037106e-06,0.926496681,0.03239239772,OK,OK,OK,1,""
