category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,24627,45.648,5.04,5.14232,0.128004,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24627_-1.root",OK
signal,24628,46.769,5.19,5.26731,0.144803,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24628_-1.root",OK
signal,24629,42.21,4.622,5.19086,0.122649,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24629_-1.root",OK
signal,24630,44.349,4.876,5.22156,0.131228,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24630_-1.root",OK
signal,24631,47.127,5.175,5.34862,0.115196,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24631_-1.root",OK
signal,24632,48.278,5.291,5.29426,0.115744,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24632_-1.root",OK
signal,24633,48.932,5.388,5.33426,0.216263,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24633_-1.root",OK
signal,24634,46.837,5.209,5.21841,0.118449,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24634_-1.root",OK
signal,24635,30.621,2.747,5.35674,0.140198,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24635_-1.root",OK
signal,24636,15.872,1.06,5.51089,0.166929,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24636_-1.root",OK
signal,24674,45.056,5.333,5.21966,0.0948272,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24674_-1.root",OK
signal,24675,50.433,5.891,5.16682,0.107022,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24675_-1.root",OK
signal,24676,49.409,5.751,5.25526,0.11796,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24676_-1.root",OK
signal,24677,52.326,6.109,5.18081,0.111015,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24677_-1.root",OK
signal,24678,50.209,5.826,5.29444,0.114737,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24678_-1.root",OK
signal,24679,47.115,5.386,5.47186,0.120694,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24679_-1.root",OK
signal,24680,48.624,5.615,5.24796,0.100159,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24680_-1.root",OK
signal,24681,37.407,3.584,5.48831,0.126606,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24681_-1.root",OK
signal,24682,17.74,1.233,5.26853,0.170469,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24682_-1.root",OK
signal,24683,52.681,6.269,5.18826,0.207781,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24683_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-1.37350485972
# FIT_aerr,0.16197081278
# FIT_b,0.141838402655
# FIT_berr,0.00363561655713
# FIT_b_over_berr,39.0135759439
# FIT_chi2,0.489122504208
# FIT_ndf,18
# FIT_chi2ndf,0.027173472456
# FIT_prob,0.999999999993
