# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2/manifest.json
# rel_under_settings: pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 20
# N_valid_for_fit1: 20
# N_valid_for_fit2: 20
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000274911824301
# fit1_a_err: 8.20694919604e-06
# fit1_b_per_kHz: -2.33204141437e-10
# fit1_b_err_per_kHz: 1.53619277329e-08
# fit1_chi2: 13.5457801633
# fit1_ndf: 18
# fit1_prob: 0.758184914327
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -2.88757807165e-07
# fit2_m_err_per_kHz: 1.64721428265e-05
# tau_ns: 0.288757807165
# tau_ns_err: 16.4721428265
# fit2_chi2: 5.79585871497
# fit2_ndf: 19
# fit2_prob: 0.998369257204

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24627,533.751,5.38453,0.133941,20118.85202,17.57658095,0.0002676360458,6.661591872e-06,0.9735341375,0.03783955037,OK,OK,OK,1,""
24628,541.448,5.89462,0.162536,20094.81341,19.71671332,0.00029334037,8.093574612e-06,1.067034387,0.04337557326,OK,OK,OK,1,""
24629,517.422,5.47012,0.128666,20116.55467,16.81659967,0.000271921315,6.400063779e-06,0.9891219329,0.03760182815,OK,OK,OK,1,""
24630,533.204,5.50836,0.137756,20092.26695,17.8489792,0.0002741532359,6.860494318e-06,0.9972406118,0.03884657185,OK,OK,OK,1,""
24631,557.131,5.57577,0.120323,20044.8511,15.53965749,0.0002781647004,6.006560908e-06,1.011832434,0.03728000509,OK,OK,OK,1,""
24632,555.996,5.56018,0.121036,20022.10147,15.61876669,0.0002777021187,6.048999936e-06,1.01014978,0.03733009896,OK,OK,OK,1,""
24633,562.777,5.57623,0.225584,20009.66224,28.993117,0.0002786768679,1.128098245e-05,1.013695459,0.05098671427,OK,OK,OK,1,""
24634,549.297,5.43737,0.123743,20062.36905,16.05888045,0.0002710233266,6.171729614e-06,0.9858554732,0.03701575154,OK,OK,OK,1,""
24635,374.822,5.57061,0.145851,20254.57875,19.76075273,0.0002750296646,7.205887817e-06,1.000428648,0.03973684573,OK,OK,OK,1,""
24636,191.912,5.692,0.172026,20397.97729,24.56023028,0.0002790472761,8.440173427e-06,1.01504283,0.04313689936,OK,OK,OK,1,""
24674,550.607,5.45144,0.0993226,19917.23998,12.69676856,0.0002737045899,4.989816719e-06,0.9956086486,0.03482581804,OK,OK,OK,1,""
24675,598.234,5.45697,0.112279,19956.78354,14.3078424,0.000273439354,5.629521461e-06,0.9946438453,0.0360695429,OK,OK,OK,1,""
24676,586.397,5.40765,0.122676,19995.83436,15.72155519,0.0002704388275,6.138761402e-06,0.9837293402,0.03689259739,OK,OK,OK,1,""
24677,598.529,5.40198,0.115806,20002.81476,14.83018581,0.0002700609922,5.792946465e-06,0.9823549527,0.03611176721,OK,OK,OK,1,""
24678,583.434,5.49479,0.119633,19981.08891,15.31035667,0.000274999527,5.991018136e-06,1.000319021,0.03696870493,OK,OK,OK,1,""
24679,546.119,5.69935,0.126112,20003.00178,15.95074849,0.0002849247359,6.308746347e-06,1.036422266,0.03852177177,OK,OK,OK,1,""
24680,557.483,5.47789,0.104628,20006.51841,13.42107716,0.0002738052613,5.232920129e-06,0.9959748437,0.03530397373,OK,OK,OK,1,""
24681,436.043,5.66649,0.131393,20362.13905,17.47683386,0.0002782855959,6.457228377e-06,1.012272195,0.03827420039,OK,OK,OK,1,""
24682,213.6,5.43969,0.175915,20499.15683,25.53893116,0.0002653616461,8.587938257e-06,0.9652609406,0.04249973195,OK,OK,OK,1,""
24683,601.171,5.40547,0.217097,20063.72719,27.82038765,0.0002694150468,1.082681922e-05,0.9800053071,0.04906049166,OK,OK,OK,1,""
