category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24627,46.306,325.5,8.09687,0.0165423,5.38453,0.133941,65.123,1,0.9997,0.957209,1.03088,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24627_-1.root",OK,1,""
signal,24628,46.995,262.387,7.23497,0.0224653,5.89462,0.162536,51.691,1,0.9997,0.887665,1.0305,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24628_-1.root",OK,1,""
signal,24629,44.85,362.288,8.52158,0.0150988,5.47012,0.128666,71.134,1,0.9997,0.958663,1.02934,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24629_-1.root",OK,1,""
signal,24630,46.247,322.575,8.06712,0.0170762,5.50836,0.137756,63.067,1,0.9998,0.956936,1.03036,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24630_-1.root",OK,1,""
signal,24631,48.458,428.663,9.25035,0.0130074,5.57577,0.120323,83.008,1,0.9996,0.95751,1.03342,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24631_-1.root",OK,1,""
signal,24632,48.434,422.25,9.19171,0.013168,5.56018,0.121036,82.076,1,0.9996,0.95853,1.03554,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24632_-1.root",OK,1,""
signal,24633,48.982,122.85,4.96985,0.0453906,5.57623,0.225584,23.804,1,0.9995,0.95863,1.03526,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24633_-1.root",OK,1,""
signal,24634,47.803,391.088,8.90031,0.0139032,5.43737,0.123743,77.795,1,0.9996,0.956762,1.03442,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24634_-1.root",OK,1,""
signal,24635,32.04,271.8,7.11631,0.0204953,5.57061,0.145851,51.87,1,0.9998,0.962786,1.02332,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24635_-1.root",OK,1,""
signal,24636,16.206,184.463,5.5749,0.0308572,5.692,0.172026,33.816,1,0.9998,0.969885,1.01184,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24636_-1.root",OK,1,""
