category,run,BCM2_I,yield,yield_err,shms34_rate_kHz,rootfile,status
signal,24627,46.306,5.38453,0.133941,533.751,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24627_-1.root",OK
signal,24628,46.995,5.89462,0.162536,541.448,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24628_-1.root",OK
signal,24629,44.85,5.47012,0.128666,517.422,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24629_-1.root",OK
signal,24630,46.247,5.50836,0.137756,533.204,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24630_-1.root",OK
signal,24631,48.458,5.57577,0.120323,557.131,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24631_-1.root",OK
signal,24632,48.434,5.56018,0.121036,555.996,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24632_-1.root",OK
signal,24633,48.982,5.57623,0.225584,562.777,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24633_-1.root",OK
signal,24634,47.803,5.43737,0.123743,549.297,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24634_-1.root",OK
signal,24635,32.04,5.57061,0.145851,374.822,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24635_-1.root",OK
signal,24636,16.206,5.692,0.172026,191.912,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24636_-1.root",OK
signal,24674,48.544,5.45144,0.0993226,550.607,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24674_-1.root",OK
signal,24675,52.546,5.45697,0.112279,598.234,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24675_-1.root",OK
signal,24676,51.485,5.40765,0.122676,586.397,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24676_-1.root",OK
signal,24677,52.607,5.40198,0.115806,598.529,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24677_-1.root",OK
signal,24678,51.251,5.49479,0.119633,583.434,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24678_-1.root",OK
signal,24679,47.915,5.69935,0.126112,546.119,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24679_-1.root",OK
signal,24680,48.952,5.47789,0.104628,557.483,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24680_-1.root",OK
signal,24681,37.458,5.66649,0.131393,436.043,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24681_-1.root",OK
signal,24682,18.077,5.43969,0.175915,213.6,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24682_-1.root",OK
signal,24683,52.784,5.40547,0.217097,601.171,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24683_-1.root",OK
# FIT_MODEL,pol0
# FIT_C,5.51521122476
# FIT_Cerr,0.0292722697545
# FIT_chi2,15.0466848755
# FIT_ndf,19
# FIT_chi2ndf,0.79193078292
# FIT_prob,0.719625555838
