category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,24779,115594,111304,0.962887,"./Pass0p1_ROOTfiles/coin_replay_production_24779_-1.root",OK
signal,24780,784408,700157,0.892593,"./Pass0p1_ROOTfiles/coin_replay_production_24780_-1.root",OK
signal,24781,108986,104888,0.962399,"./Pass0p1_ROOTfiles/coin_replay_production_24781_-1.root",OK
signal,24782,114617,110297,0.962309,"./Pass0p1_ROOTfiles/coin_replay_production_24782_-1.root",OK
signal,24783,90791,87469,0.96341,"./Pass0p1_ROOTfiles/coin_replay_production_24783_-1.root",OK
signal,24784,109674,105567,0.962553,"./Pass0p1_ROOTfiles/coin_replay_production_24784_-1.root",OK
signal,24785,90668,87363,0.963548,"./Pass0p1_ROOTfiles/coin_replay_production_24785_-1.root",OK
signal,24786,80242,77358,0.964059,"./Pass0p1_ROOTfiles/coin_replay_production_24786_-1.root",OK
signal,24787,107637,103565,0.962169,"./Pass0p1_ROOTfiles/coin_replay_production_24787_-1.root",OK
signal,24788,85794,82531,0.961967,"./Pass0p1_ROOTfiles/coin_replay_production_24788_-1.root",OK
signal,24789,92379,88886,0.962188,"./Pass0p1_ROOTfiles/coin_replay_production_24789_-1.root",OK
signal,24790,55595,53788,0.967497,"./Pass0p1_ROOTfiles/coin_replay_production_24790_-1.root",OK
signal,24791,16673,16227,0.97325,"./Pass0p1_ROOTfiles/coin_replay_production_24791_-1.root",OK
signal,24803,87223,83904,0.961948,"./Pass0p1_ROOTfiles/coin_replay_production_24803_-1.root",OK
signal,24804,101029,97385,0.963931,"./Pass0p1_ROOTfiles/coin_replay_production_24804_-1.root",OK
signal,24805,124223,119684,0.963461,"./Pass0p1_ROOTfiles/coin_replay_production_24805_-1.root",OK
signal,24806,104405,100281,0.9605,"./Pass0p1_ROOTfiles/coin_replay_production_24806_-1.root",OK
signal,24807,111492,107159,0.961136,"./Pass0p1_ROOTfiles/coin_replay_production_24807_-1.root",OK
signal,24808,116816,112415,0.962325,"./Pass0p1_ROOTfiles/coin_replay_production_24808_-1.root",OK
signal,24809,104071,100287,0.96364,"./Pass0p1_ROOTfiles/coin_replay_production_24809_-1.root",OK
signal,24810,100094,96287,0.961966,"./Pass0p1_ROOTfiles/coin_replay_production_24810_-1.root",OK
signal,24811,84283,80833,0.959066,"./Pass0p1_ROOTfiles/coin_replay_production_24811_-1.root",OK
signal,24812,63501,61310,0.965497,"./Pass0p1_ROOTfiles/coin_replay_production_24812_-1.root",OK
signal,24813,10317,10073,0.97635,"./Pass0p1_ROOTfiles/coin_replay_production_24813_-1.root",OK
positron,24821,168927,160558,0.950458,"./Pass0p1_ROOTfiles/coin_replay_production_24821_-1.root",OK
positron,24822,170395,161784,0.949464,"./Pass0p1_ROOTfiles/coin_replay_production_24822_-1.root",OK
positron,24823,188407,178942,0.949763,"./Pass0p1_ROOTfiles/coin_replay_production_24823_-1.root",OK
dummy,24794,20685,19944,0.964177,"./Pass0p1_ROOTfiles/coin_replay_production_24794_-1.root",OK
dummy,24795,32212,31091,0.965199,"./Pass0p1_ROOTfiles/coin_replay_production_24795_-1.root",OK
dummy,24796,2843,2739,0.963419,"./Pass0p1_ROOTfiles/coin_replay_production_24796_-1.root",OK
dummy,24797,38858,37422,0.963045,"./Pass0p1_ROOTfiles/coin_replay_production_24797_-1.root",OK
dummy,24798,32808,31637,0.964307,"./Pass0p1_ROOTfiles/coin_replay_production_24798_-1.root",OK
dummy,24814,40152,38627,0.962019,"./Pass0p1_ROOTfiles/coin_replay_production_24814_-1.root",OK
dummy,24815,40985,39415,0.961693,"./Pass0p1_ROOTfiles/coin_replay_production_24815_-1.root",OK
dummy,24816,40375,38871,0.962749,"./Pass0p1_ROOTfiles/coin_replay_production_24816_-1.root",OK
dummy,24817,40266,38901,0.9661,"./Pass0p1_ROOTfiles/coin_replay_production_24817_-1.root",OK
