category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,24779,545.648,512.31,434.482,308.071,50,0.0272824,0.0256155,0.0217241,0.01540355,0.9727176,0.9743845,0.9782759,0.98459645,0.997089138891,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24779_-1.report",OK
signal,24780,490.446,460.447,390.615,276.898,50,0.0245223,0.02302235,0.01953075,0.0138449,0.9754777,0.97697765,0.98046925,0.9861551,0.997641143622,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24780_-1.report",OK
signal,24781,536.265,503.33,427.123,302.831,50,0.02681325,0.0251665,0.02135615,0.01514155,0.97318675,0.9748335,0.97864385,0.98485845,0.997186917058,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24781_-1.report",OK
signal,24782,513.114,481.597,408.689,289.869,50,0.0256557,0.02407985,0.02043445,0.01449345,0.9743443,0.97592015,0.97956555,0.98550655,0.997420957515,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24782_-1.report",OK
signal,24783,484.338,454.705,385.896,273.704,50,0.0242169,0.02273525,0.0192948,0.0136852,0.9757831,0.97726475,0.9807052,0.9863148,0.997697563283,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24783_-1.report",OK
signal,24784,545.02,511.797,434.269,308.216,50,0.027251,0.02558985,0.02171345,0.0154108,0.972749,0.97441015,0.97828655,0.9845892,0.997092792893,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24784_-1.report",OK
signal,24785,473.8,444.823,377.465,267.918,50,0.02369,0.02224115,0.01887325,0.0133959,0.97631,0.97775885,0.98112675,0.9866041,0.997794953962,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24785_-1.report",OK
signal,24786,458.243,430.22,365.055,259.103,50,0.02291215,0.021511,0.01825275,0.01295515,0.97708785,0.978489,0.98174725,0.98704485,0.997935738449,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24786_-1.report",OK
signal,24787,533.599,500.775,425.049,301.622,50,0.02667995,0.02503875,0.02125245,0.0150811,0.97332005,0.97496125,0.97874755,0.9849189,0.997213387518,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24787_-1.report",OK
signal,24788,478.094,448.765,380.942,270.36,50,0.0239047,0.02243825,0.0190471,0.013518,0.9760953,0.97756175,0.9809529,0.986482,0.997755363705,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24788_-1.report",OK
signal,24789,497.068,466.897,396.211,281.306,50,0.0248534,0.02334485,0.01981055,0.0140653,0.9751466,0.97665515,0.98018945,0.9859347,0.997574087597,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24789_-1.report",OK
signal,24790,379.347,356.66,302.618,213.872,50,0.01896735,0.017833,0.0151309,0.0106936,0.98103265,0.982167,0.9848691,0.9893064,0.998578815504,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24790_-1.report",OK
signal,24791,189.153,178.045,151.254,106.213,50,0.00945765,0.00890225,0.0075627,0.00531065,0.99054235,0.99109775,0.9924373,0.99468935,0.999642921718,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24791_-1.report",OK
