# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh14p375_thpq8p5/manifest.json
# rel_under_settings: pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh14p375_thpq8p5
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh14p375_thpq8p5/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh14p375_thpq8p5/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 24
# N_valid_for_fit1: 24
# N_valid_for_fit2: 24
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000150417878889
# fit1_a_err: 6.20863116578e-06
# fit1_b_per_kHz: 4.68191014897e-10
# fit1_b_err_per_kHz: 2.46098463621e-08
# fit1_chi2: 26.4350800589
# fit1_ndf: 22
# fit1_prob: 0.233471294324
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: 3.60236245965e-06
# fit2_m_err_per_kHz: 4.16215878158e-05
# tau_ns: -3.60236245965
# tau_ns_err: 41.6215878158
# fit2_chi2: 9.36969864926
# fit2_ndf: 23
# fit2_prob: 0.994548232886

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24779,56.3,219.574,275.874,2.9767,0.0768556,19914.16581,14.25990165,0.0001494765098,3.860827159e-06,0.9937416407,0.04838649809,OK,OK,OK,1,""
24780,50.609,197.259,247.868,3.37787,0.107317,19991.44933,18.1484077,0.0001689657385,5.370336065e-06,1.123308876,0.058518837,OK,OK,OK,1,""
24781,55.352,215.824,271.176,3.00279,0.0792784,19952.10627,14.66710629,0.0001504999001,3.974975071e-06,1.000545289,0.04902960379,OK,OK,OK,1,""
24782,52.953,206.468,259.421,3.0996,0.0775436,19993.91126,14.22048527,0.000155027196,3.879927768e-06,1.030643413,0.04974997555,OK,OK,OK,1,""
24783,49.974,194.867,244.841,3.04266,0.0859762,19966.78878,15.9365062,0.0001523860463,4.307677718e-06,1.013084664,0.05068248334,OK,OK,OK,1,""
24784,56.301,219.463,275.764,3.02727,0.0797711,19984.84047,14.6895901,0.000151478317,3.993133124e-06,1.007049947,0.04932083692,OK,OK,OK,1,""
24785,48.889,190.609,239.498,3.05133,0.0859247,19998.93299,15.93848647,0.0001525746399,4.29818457e-06,1.014338462,0.05068958536,OK,OK,OK,1,""
24786,47.279,184.272,231.551,2.93704,0.0895089,19979.76797,16.81306724,0.0001470007061,4.481684462e-06,0.9772821371,0.05014882669,OK,OK,OK,1,""
24787,55.102,214.776,269.878,3.00325,0.0797992,19938.5387,14.80878192,0.0001506253816,4.003822452e-06,1.001379508,0.04916218266,OK,OK,OK,1,""
24788,49.358,192.346,241.704,3.05416,0.0888345,19990.03716,16.40523844,0.0001527841082,4.445707232e-06,1.015731037,0.05129583065,OK,OK,OK,1,""
24789,51.345,200.098,251.443,3.08231,0.0860857,19943.10275,15.85481626,0.0001545551883,4.318313463e-06,1.027505436,0.05121429042,OK,OK,OK,1,""
24790,39.049,151.92,190.969,3.04765,0.0938987,20235.97892,17.97651815,0.0001506055137,4.642114063e-06,1.001247423,0.0515788817,OK,OK,OK,1,""
