# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 25
# N_valid_for_fit1: 25
# N_valid_for_fit2: 25
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000397496357389
# fit1_a_err: 1.13724965675e-05
# fit1_b_per_kHz: -5.74980607189e-08
# fit1_b_err_per_kHz: 1.37443462713e-08
# fit1_chi2: 47.4188591843
# fit1_ndf: 23
# fit1_prob: 0.0019840566581
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.000145154376684
# fit2_m_err_per_kHz: 8.78531791772e-06
# tau_ns: 145.154376684
# tau_ns_err: 8.78531791772
# fit2_chi2: 22.235610252
# fit2_ndf: 24
# fit2_prob: 0.565206356357

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24322,29.989,844.852,874.841,7.09657,0.17992,20284.26772,19.87452496,0.0003498558636,8.876549551e-06,0.8801486028,0.03365678987,OK,OK,OK,1,""
24323,29.604,834.066,863.67,7.21164,0.246229,20184.0866,25.69212417,0.0003572933541,1.220763949e-05,0.8988594422,0.04005660592,OK,OK,OK,1,""
24324,29.978,844.572,874.55,7.09694,0.180841,20239.15664,19.99820009,0.0003506539391,8.941919494e-06,0.8821563584,0.03380898859,OK,OK,OK,1,""
24325,30,845.062,875.062,7.10997,0.181702,20264.06197,20.16530225,0.0003508659819,8.973506964e-06,0.8826898042,0.03387329216,OK,OK,OK,1,""
24326,29.81,839.851,869.661,6.806,0.187242,20213.43274,20.93035216,0.0003367067874,9.269804882e-06,0.8470688627,0.03363295184,OK,OK,OK,1,""
24327,29.016,817.889,846.905,7.08341,0.188111,20263.03359,20.95397298,0.0003495730276,9.290492457e-06,0.8794370592,0.03434165599,OK,OK,OK,1,""
24328,30.123,848.678,878.801,6.51245,0.17685,20271.02673,20.13827973,0.0003212688773,8.730110566e-06,0.8082309973,0.03189152973,OK,OK,OK,1,""
24329,30.078,847.455,877.533,6.67507,0.181372,20303.24421,20.41132254,0.0003287686407,8.939266003e-06,0.8270984993,0.03264529618,OK,OK,OK,1,""
24330,29.103,820.307,849.41,6.97643,0.204619,20268.51781,22.73331331,0.0003442003044,1.010278902e-05,0.8659206506,0.03549281571,OK,OK,OK,1,""
24331,20.085,571.24,591.325,7.38203,0.272685,20279.36523,31.41920887,0.0003640168179,1.345824896e-05,0.9157739716,0.04281125545,OK,OK,OK,1,""
24332,10.894,312.746,323.64,7.22895,0.277911,20302.29069,34.22635966,0.0003560657322,1.370180744e-05,0.895771057,0.04295356857,OK,OK,OK,1,""
24385,30.009,844.905,874.914,6.9671,0.295342,20264.83897,32.84475138,0.0003438023865,1.458475899e-05,0.8649195901,0.04425625365,OK,OK,OK,1,""
24386,30.246,851.676,881.922,7.11163,0.167109,20220.14052,18.52416343,0.0003517102165,8.270761303e-06,0.8848136844,0.03276852206,OK,OK,OK,1,""
24387,30.102,847.49,877.592,6.65451,0.17297,20222.64857,19.55126051,0.0003290622382,8.55919569e-06,0.8278371161,0.0320097505,OK,OK,OK,1,""
24388,30.065,843.447,873.512,6.66019,0.164027,20247.94704,18.51569849,0.0003289316189,8.106502373e-06,0.8275085113,0.03124788316,OK,OK,OK,1,""
24389,28.336,795.579,823.915,7.44092,0.197907,20282.85336,21.69507525,0.000366857654,9.765242149e-06,0.9229207946,0.03606602533,OK,OK,OK,1,""
24390,29.683,832.733,862.416,7.01682,0.18788,20188.37244,20.83804008,0.0003475673941,9.313259273e-06,0.8743913941,0.03427515753,OK,OK,OK,1,""
24396,30.306,849.964,880.27,7.40566,0.189509,20205.23436,20.34947389,0.0003665218561,9.38646456e-06,0.9220760122,0.0354057969,OK,OK,OK,1,""
24397,30.185,846.184,876.369,7.32854,0.186136,20218.30756,20.30928367,0.0003624704975,9.213506785e-06,0.9118838217,0.03489856257,OK,OK,OK,1,""
24398,20.622,583.751,604.373,7.68276,0.221239,20325.23827,24.91753154,0.0003779911408,1.089479942e-05,0.950929823,0.03861886938,OK,OK,OK,1,""
24399,10.97,313.586,324.556,7.78991,0.305494,20327.44003,36.5515136,0.0003832213987,1.504444035e-05,0.9640878251,0.04683251867,OK,OK,OK,1,""
24424,29.985,841.34,871.325,7.2083,0.186312,20224.13828,20.31573511,0.0003564206247,9.219312719e-06,0.8966638765,0.03458403656,OK,OK,OK,1,""
24425,30.215,847.664,877.879,7.49277,0.187712,20251.69004,20.15550568,0.0003699824551,9.276266128e-06,0.9307820013,0.0354084489,OK,OK,OK,1,""
24426,20.54,581.806,602.346,7.38576,0.218602,20257.9872,24.79197544,0.0003645850857,1.080012473e-05,0.9172035893,0.03777359872,OK,OK,OK,1,""
24427,10.947,312.738,323.685,7.79543,0.288385,20401.4733,34.81368568,0.000382101326,1.415052884e-05,0.9612700063,0.04498524189,OK,OK,OK,1,""
