# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 17
# N_valid_for_fit1: 17
# N_valid_for_fit2: 17
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000375887327935
# fit1_a_err: 9.46360926391e-06
# fit1_b_per_kHz: -5.24197228706e-08
# fit1_b_err_per_kHz: 1.49715630616e-08
# fit1_chi2: 55.71832143
# fit1_ndf: 15
# fit1_prob: 1.35189210834e-06
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.00013716045899
# fit2_m_err_per_kHz: 1.18825262717e-05
# tau_ns: 137.16045899
# tau_ns_err: 11.8825262717
# fit2_chi2: 26.8562438068
# fit2_ndf: 16
# fit2_prob: 0.0431088854507

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24222,50.877,626.806,677.683,6.55014,0.129449,19915.12268,15.40911923,0.0003289028195,6.505015089e-06,0.8750037446,0.02801424515,OK,OK,OK,1,""
24223,53.262,656.408,709.67,7.88505,0.211327,19963.56991,21.98269793,0.0003949719432,1.059456253e-05,1.05077217,0.03865601749,OK,OK,OK,1,""
24224,52.655,648.859,701.514,6.70438,0.131105,19971.8622,15.46724119,0.0003356912807,6.569631486e-06,0.8930635745,0.0284783661,OK,OK,OK,1,""
24225,53.302,656.969,710.271,7.05075,0.220404,20016.65958,25.59580964,0.0003522440881,1.102023683e-05,0.9371001944,0.03763210723,OK,OK,OK,1,""
24226,50.638,624.042,674.68,6.8335,0.129029,20026.31216,15.17576923,0.0003412260802,6.448160292e-06,0.9077881984,0.02857680573,OK,OK,OK,1,""
24227,51.011,628.618,679.629,6.97326,0.11784,20027.61349,13.73387974,0.0003481822736,5.888718777e-06,0.9262942582,0.02809449338,OK,OK,OK,1,""
24228,50.616,623.573,674.189,6.63091,0.133565,19936.59813,15.79588578,0.0003325998727,6.704668728e-06,0.8848392802,0.02853831927,OK,OK,OK,1,""
24229,35.002,426.024,461.026,7.07299,0.154188,20149.48847,18.69205443,0.0003510257846,7.659129684e-06,0.9338590544,0.03111233935,OK,OK,OK,1,""
24230,18.368,220.686,239.054,7.67793,0.205923,20280.09053,25.4251686,0.0003785944638,1.016503628e-05,1.007201988,0.03707211717,OK,OK,OK,1,""
24257,50.758,624.976,675.734,6.90366,0.13186,20036.64755,15.36084858,0.0003445516513,6.586240259e-06,0.9166354535,0.02897590922,OK,OK,OK,1,""
24258,48.319,594.457,642.776,6.77017,0.136057,20038.92938,16.12020802,0.0003378508837,6.795071598e-06,0.8988089212,0.02896320545,OK,OK,OK,1,""
24259,50.052,616.158,666.21,6.97475,0.137515,20127.95509,16.00751687,0.0003465205466,6.837596122e-06,0.9218734468,0.02948878424,OK,OK,OK,1,""
24260,50.083,616.481,666.564,6.97807,0.143281,20048.48963,16.66361503,0.0003480596359,7.152575757e-06,0.9259679962,0.03009273123,OK,OK,OK,1,""
24261,45.499,560.181,605.68,6.82243,0.154791,20148.0634,18.34430002,0.000338614678,7.688857299e-06,0.9008408978,0.030541909,OK,OK,OK,1,""
24262,48.95,602.939,651.889,6.45023,0.140721,20132.47918,16.95764303,0.0003203892547,6.994957797e-06,0.852354498,0.0284044279,OK,OK,OK,1,""
24263,34.995,425.92,460.915,6.81827,0.151051,20266.84301,18.7183536,0.0003364248688,7.459583648e-06,0.8950151914,0.03002657488,OK,OK,OK,1,""
24264,18.472,221.965,240.437,7.57001,0.209044,20371.4759,25.97859486,0.0003715985055,1.027253907e-05,0.9885901384,0.03696412794,OK,OK,OK,1,""
