category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,24187,1082.264,1007.774,717.995,581.27,50,0.0541132,0.0503887,0.03589975,0.0290635,0.9458868,0.9496113,0.96410025,0.9709365,0.990004954464,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24187_-1.report",OK
signal,24188,1116.552,1039.554,740.961,598.997,50,0.0558276,0.0519777,0.03704805,0.02994985,0.9441724,0.9480223,0.96295195,0.97005015,0.989384303848,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24188_-1.report",OK
signal,24189,1034.142,963.142,686.376,554.508,50,0.0517071,0.0481571,0.0343188,0.0277254,0.9482929,0.9518429,0.9656812,0.9722746,0.990854361373,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24189_-1.report",OK
signal,24190,1137.718,1059.338,755.212,609.663,50,0.0568859,0.0529669,0.0377606,0.03048315,0.9431141,0.9470331,0.9622394,0.96951685,0.988992837615,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24190_-1.report",OK
signal,24191,981.246,913.913,651.182,524.94,50,0.0490623,0.04569565,0.0325591,0.026247,0.9509377,0.95430435,0.9674409,0.973753,0.991751029408,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24191_-1.report",OK
signal,24192,1093.884,1019.363,726.57,586.091,50,0.0546942,0.05096815,0.0363285,0.02930455,0.9453058,0.94903185,0.9636715,0.97069545,0.989794801789,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24192_-1.report",OK
signal,24193,1024.179,954.62,680.312,548.101,50,0.05120895,0.047731,0.0340156,0.02740505,0.94879105,0.952269,0.9659844,0.97259495,0.991024473628,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24193_-1.report",OK
signal,24194,1056.391,984.651,701.826,565.881,50,0.05281955,0.04923255,0.0350913,0.02829405,0.94718045,0.95076745,0.9649087,0.97170595,0.990462639751,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24194_-1.report",OK
signal,24195,1028.952,959.037,683.625,550.838,50,0.0514476,0.04795185,0.03418125,0.0275419,0.9485524,0.95204815,0.96581875,0.9724581,0.990941056763,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24195_-1.report",OK
signal,24196,751.321,702.166,498.984,396.31,50,0.03756605,0.0351083,0.0249492,0.0198155,0.96243395,0.9648917,0.9750508,0.9801845,0.995121473577,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24196_-1.report",OK
signal,24197,406.692,381.15,270.155,211.154,50,0.0203346,0.0190575,0.01350775,0.0105577,0.9796654,0.9809425,0.98649225,0.9894423,0.99855159566,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24197_-1.report",OK
positron,24543,1076.586,1012.501,720.033,578.414,50,0.0538293,0.05062505,0.03600165,0.0289207,0.9461707,0.94937495,0.96399835,0.9710793,0.990015117588,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24543_-1.report",OK
dummy,24206,664.429,616.592,445.16,338.949,50,0.03322145,0.0308296,0.022258,0.01694745,0.96677855,0.9691704,0.977742,0.98305255,0.996214901329,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24206_-1.report",OK
positron_dummy,24545,708.116,664.438,478.447,364.987,50,0.0354058,0.0332219,0.02392235,0.01824935,0.9645942,0.9667781,0.97607765,0.98175065,0.99565062738,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24545_-1.report",OK
