# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 11
# N_valid_for_fit1: 11
# N_valid_for_fit2: 11
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000177938288289
# fit1_a_err: 8.84118221941e-06
# fit1_b_per_kHz: 1.08345128347e-07
# fit1_b_err_per_kHz: 3.87705441696e-08
# fit1_chi2: 19.9537529032
# fit1_ndf: 9
# fit1_prob: 0.0181999668135
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: 0.000606843742156
# fit2_m_err_per_kHz: 8.60229144937e-05
# tau_ns: -606.843742156
# tau_ns_err: 86.0229144937
# fit2_chi2: 3.7262291247
# fit2_ndf: 10
# fit2_prob: 0.958853318462

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24187,48.983,193.564,242.547,4.15976,0.0996922,20092.48479,16.28609282,0.0002070306407,4.964503034e-06,1.163496866,0.06419083143,OK,OK,OK,1,""
24188,50.598,200.249,250.847,4.50051,0.104413,20097.14604,15.77449975,0.0002239377666,5.198386809e-06,1.258513661,0.06901940833,OK,OK,OK,1,""
24189,46.847,184.414,231.261,3.95397,0.0980976,20068.10099,16.53604846,0.0001970276112,4.890930593e-06,1.107280581,0.06150130928,OK,OK,OK,1,""
24190,51.563,203.929,255.492,4.0683,0.0945402,20082.92498,15.68533884,0.0002025750733,4.710149621e-06,1.138456907,0.06245350469,OK,OK,OK,1,""
24191,44.426,174.046,218.472,4.1866,0.102603,20139.54113,16.87311737,0.0002078796122,5.097580759e-06,1.168268023,0.06473190984,OK,OK,OK,1,""
24192,49.583,195.403,244.986,3.99206,0.0948516,19914.41814,15.79431321,0.0002004607904,4.765613909e-06,1.126574793,0.06205317412,OK,OK,OK,1,""
24193,46.401,181.799,228.2,3.98526,0.100075,19944.16351,16.73780163,0.0001998208648,5.020560171e-06,1.122978459,0.06252537906,OK,OK,OK,1,""
24194,47.898,188.618,236.516,3.97523,0.0953892,19905.51071,15.90727865,0.0001997049992,4.794756833e-06,1.122327303,0.06193394799,OK,OK,OK,1,""
24195,46.623,183.018,229.641,3.9654,0.0930957,19992.29678,15.63497428,0.0001983463953,4.659161389e-06,1.11469205,0.06126303494,OK,OK,OK,1,""
24196,33.789,124.407,158.196,3.87047,0.115784,20111.34555,20.10309492,0.0001924520659,5.760361501e-06,1.081566355,0.06273706046,OK,OK,OK,1,""
24197,18.164,62.48,80.644,3.84432,0.141455,20181.66282,25.27292729,0.0001904857907,7.013143425e-06,1.070516034,0.06620152309,OK,OK,OK,1,""
