category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,23878,87520,83407,0.953005,"./Pass0p1_ROOTfiles/coin_replay_production_23878_-1.root",OK
signal,23886,79940,76448,0.956317,"./Pass0p1_ROOTfiles/coin_replay_production_23886_-1.root",OK
signal,23887,78334,74955,0.956864,"./Pass0p1_ROOTfiles/coin_replay_production_23887_-1.root",OK
signal,23888,66684,63657,0.954607,"./Pass0p1_ROOTfiles/coin_replay_production_23888_-1.root",OK
signal,23889,71880,68726,0.956121,"./Pass0p1_ROOTfiles/coin_replay_production_23889_-1.root",OK
signal,23897,132536,126076,0.951259,"./Pass0p1_ROOTfiles/coin_replay_production_23897_-1.root",OK
signal,23898,162321,154359,0.950949,"./Pass0p1_ROOTfiles/coin_replay_production_23898_-1.root",OK
signal,23899,155611,147916,0.95055,"./Pass0p1_ROOTfiles/coin_replay_production_23899_-1.root",OK
signal,23900,194874,185177,0.95024,"./Pass0p1_ROOTfiles/coin_replay_production_23900_-1.root",OK
dummy,23879,57047,54398,0.953565,"./Pass0p1_ROOTfiles/coin_replay_production_23879_-1.root",OK
dummy,23890,39467,37666,0.954367,"./Pass0p1_ROOTfiles/coin_replay_production_23890_-1.root",OK
dummy,23891,19018,18180,0.955936,"./Pass0p1_ROOTfiles/coin_replay_production_23891_-1.root",OK
dummy,23901,16321,15614,0.956682,"./Pass0p1_ROOTfiles/coin_replay_production_23901_-1.root",OK
dummy,23902,91377,86822,0.950152,"./Pass0p1_ROOTfiles/coin_replay_production_23902_-1.root",OK
dummy,23903,12115,11513,0.95031,"./Pass0p1_ROOTfiles/coin_replay_production_23903_-1.root",OK
dummy,23948,143818,137479,0.955923,"./Pass0p1_ROOTfiles/coin_replay_production_23948_-1.root",OK
dummy,23949,13616,13078,0.960488,"./Pass0p1_ROOTfiles/coin_replay_production_23949_-1.root",OK
dummy,23955,99413,94820,0.953799,"./Pass0p1_ROOTfiles/coin_replay_production_23955_-1.root",OK
dummy,23956,18733,17961,0.958789,"./Pass0p1_ROOTfiles/coin_replay_production_23956_-1.root",OK
positron_dummy,24600,385450,365084,0.947163,"./Pass0p1_ROOTfiles/coin_replay_production_24600_-1.root",OK
