category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,23878,962.373,886.63,849.065,760.176,50,0.04811865,0.0443315,0.04245325,0.0380088,0.95188135,0.9556685,0.95754675,0.9619912,0.989445809506,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23878_-1.report",OK
signal,23886,901.516,835.201,797.226,711.605,50,0.0450758,0.04176005,0.0398613,0.03558025,0.9549242,0.95823995,0.9601387,0.96441975,0.990670648756,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23886_-1.report",OK
signal,23887,899.383,833.576,795.754,710.142,50,0.04496915,0.0416788,0.0397877,0.0355071,0.95503085,0.9583212,0.9602123,0.9644929,0.99070797748,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23887_-1.report",OK
signal,23888,895.66,830.6,792.554,707.072,50,0.044783,0.04153,0.0396277,0.0353536,0.955217,0.95847,0.9603723,0.9646464,0.990780254445,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23888_-1.report",OK
signal,23889,890.025,825.714,787.757,702.505,50,0.04450125,0.0412857,0.03938785,0.03512525,0.95549875,0.9587143,0.96061215,0.96487475,0.990890524003,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23889_-1.report",OK
signal,23897,1245.045,1160.609,1105.509,989.85,50,0.06225225,0.05803045,0.05527545,0.0494925,0.93774775,0.94196955,0.94472455,0.9505075,0.982435406759,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23897_-1.report",OK
signal,23898,1258.337,1173.14,1117.848,1000.66,50,0.06291685,0.058657,0.0558924,0.050033,0.93708315,0.941343,0.9441076,0.949967,0.982066094191,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23898_-1.report",OK
signal,23899,1257.841,1173.496,1117.75,1000.305,50,0.06289205,0.0586748,0.0558875,0.05001525,0.93710795,0.9413252,0.9441125,0.94998475,0.982070599919,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23899_-1.report",OK
signal,23900,1254.828,1171.579,1115.374,997.977,50,0.0627414,0.05857895,0.0557687,0.04989885,0.9372586,0.94142105,0.9442313,0.95010115,0.982143517831,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23900_-1.report",OK
dummy,23879,870.192,798.828,746.49,660.54,50,0.0435096,0.0399414,0.0373245,0.033027,0.9564904,0.9600586,0.9626755,0.966973,0.991602380919,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23879_-1.report",OK
dummy,23890,860.11,794.453,740.167,653.258,50,0.0430055,0.03972265,0.03700835,0.0326629,0.9569945,0.96027735,0.96299165,0.9673371,0.991750980286,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23890_-1.report",OK
dummy,23891,467.843,431.519,402.237,351.945,50,0.02339215,0.02157595,0.02011185,0.01759725,0.97660785,0.97842405,0.97988815,0.98240275,0.997515030212,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23891_-1.report",OK
dummy,23901,572.205,530.709,493.589,431.872,50,0.02861025,0.02653545,0.02467945,0.0215936,0.97138975,0.97346455,0.97532055,0.9784064,0.996283958467,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23901_-1.report",OK
dummy,23902,1133.004,1052.635,979.282,865.929,50,0.0566502,0.05263175,0.0489641,0.04329645,0.9433498,0.94736825,0.9510359,0.95670355,0.985810570841,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23902_-1.report",OK
dummy,23903,1115.474,1036.626,964.278,852.884,50,0.0557737,0.0518313,0.0482139,0.0426442,0.9442263,0.9481687,0.9517861,0.9573558,0.9862263071,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23903_-1.report",OK
dummy,23948,1164.461,1089.446,1011.072,924.472,50,0.05822305,0.0544723,0.0505536,0.0462236,0.94177695,0.9455277,0.9494464,0.9537764,0.984703665522,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23948_-1.report",OK
dummy,23949,581.517,543.296,504.139,457.028,50,0.02907585,0.0271648,0.02520695,0.0228514,0.97092415,0.9728352,0.97479305,0.9771486,0.99607065613,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23949_-1.report",OK
dummy,23955,1130.276,1059.008,982.288,896.723,50,0.0565138,0.0529504,0.0491144,0.04483615,0.9434862,0.9470496,0.9508856,0.95516385,0.985545863333,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23955_-1.report",OK
dummy,23956,582.39,544.855,505.445,457.619,50,0.0291195,0.02724275,0.02527225,0.02288095,0.9708805,0.97275725,0.97472775,0.97711905,0.996054635481,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_23956_-1.report",OK
positron_dummy,24600,1380.118,1326.016,1229.679,1112.324,50,0.0690059,0.0663008,0.06148395,0.0556162,0.9309941,0.9336992,0.93851605,0.9443838,0.978110845075,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24600_-1.report",OK
