category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,23878,7.345,77.183,6.39873,0.377525,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23878_-1.root",OK
signal,23886,6.902,75.888,6.60199,0.38816,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23886_-1.root",OK
signal,23887,6.811,74.957,7.63674,0.410149,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23887_-1.root",OK
signal,23888,6.77,74.681,7.01826,0.427461,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23888_-1.root",OK
signal,23889,6.696,73.788,6.45613,0.40376,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23889_-1.root",OK
signal,23897,9.555,108.543,5.56263,0.344687,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23897_-1.root",OK
signal,23898,9.801,111.704,6.0687,0.317373,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23898_-1.root",OK
signal,23899,9.857,112.144,6.22965,0.325472,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23899_-1.root",OK
signal,23900,9.79,111.893,5.81785,0.28741,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23900_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-10.5677003051
# FIT_aerr,2.99771268615
# FIT_b,12.4565166911
# FIT_berr,0.361462447907
# FIT_b_over_berr,34.4614406371
# FIT_chi2,16.7522469262
# FIT_ndf,7
# FIT_chi2ndf,2.39317813232
# FIT_prob,0.0190655183379
