category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,23878,7.49,78.2625,4.65559,0.0848792,6.64286,0.395163,12.396,1,0.9999,0.953005,1.00262,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23878_-1.root",OK,1,""
signal,23886,7.002,80.5875,4.63106,0.0879038,7.08395,0.407088,11.926,1,0.9999,0.956317,1.00245,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23886_-1.root",OK,1,""
signal,23887,6.988,88.6875,4.76929,0.089797,7.96387,0.428268,11.669,1,0.9998,0.956864,1.00244,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23887_-1.root",OK,1,""
signal,23888,6.958,71.0625,4.2699,0.105231,7.47795,0.449324,9.98,1,0.9999,0.954607,1.00243,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23888_-1.root",OK,1,""
signal,23889,6.913,68.775,4.3094,0.0978381,6.72881,0.421623,10.718,1,0.9998,0.956121,1.00242,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23889_-1.root",OK,1,""
signal,23897,9.835,85.575,5.32421,0.0681736,5.83395,0.36297,15.473,1,1,0.951259,1.00344,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23897_-1.root",OK,1,""
signal,23898,9.947,117.225,6.00867,0.0557198,6.53176,0.334802,18.942,1,0.9998,0.950949,1.00347,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23898_-1.root",OK,1,""
signal,23899,9.943,112.425,5.86752,0.0583073,6.5552,0.34212,18.109,1,0.9998,0.95055,1.00347,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23899_-1.root",OK,1,""
signal,23900,9.919,131.512,6.50525,0.0464443,6.10801,0.302132,22.744,1,0.9997,0.95024,1.00347,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23900_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,6.65441,0.124535,22.4518,8,2.80648,0.00414415,9
