# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 16
# N_valid_for_fit1: 16
# N_valid_for_fit2: 16
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000108912357805
# fit1_a_err: 1.44055994159e-05
# fit1_b_per_kHz: 6.28375423986e-08
# fit1_b_err_per_kHz: 1.65251332593e-08
# fit1_chi2: 258.767181021
# fit1_ndf: 14
# fit1_prob: 4.403690477e-47
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: 0.000574570318043
# fit2_m_err_per_kHz: 6.12321909013e-05
# tau_ns: -574.570318043
# tau_ns_err: 61.2321909013
# fit2_chi2: 24.7305664908
# fit2_ndf: 15
# fit2_prob: 0.0536809603733

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24097,44.546,896.977,941.523,9.45609,1.18623,38588.89545,150.9741853,0.0002450469206,3.075513699e-05,2.249945971,0.4102486074,OK,OK,OK,1,""
24098,42.641,860.482,903.123,7.27993,0.292562,38614.33809,41.29958405,0.000188529193,7.579194825e-06,1.731017461,0.2392999475,OK,OK,OK,1,""
24099,42.528,857.906,900.434,7.41409,0.288949,38648.16357,40.11734452,0.0001918355056,7.479047973e-06,1.761375013,0.2428829691,OK,OK,OK,1,""
24100,41.859,844.709,886.568,7.33809,0.306939,38721.94532,43.28733796,0.0001895072662,7.929575808e-06,1.73999783,0.2413874436,OK,OK,OK,1,""
24101,41.912,846.022,887.934,7.41892,0.28589,38723.1561,40.09035788,0.0001915887223,7.385584985e-06,1.759109124,0.2423539934,OK,OK,OK,1,""
24103,30.507,622.078,652.585,7.8011,0.321655,38539.53623,47.26707113,0.0002024181078,8.349796003e-06,1.858541234,0.2575025945,OK,OK,OK,1,""
24104,42.506,857.702,900.208,7.46628,0.250238,38597.51064,35.00787392,0.0001934394181,6.48564141e-06,1.776101648,0.2423510244,OK,OK,OK,1,""
24110,42.521,853.488,896.009,7.08699,0.29513,52939.14092,49.55462693,0.0001338705139,5.576300325e-06,1.229158165,0.1704495669,OK,OK,OK,1,""
24111,43.492,872.829,916.321,6.6992,0.286234,52503.66803,48.61077759,0.0001275948948,5.452975089e-06,1.171537348,0.1628445069,OK,OK,OK,1,""
24112,43.479,872.937,916.416,6.97,0.277956,52562.901,46.20007979,0.0001326030312,5.289348558e-06,1.217520526,0.1682024521,OK,OK,OK,1,""
24113,28.063,569.603,597.666,7.58963,0.325794,60402.49552,61.08258801,0.0001256509344,5.395214052e-06,1.153688497,0.1604351265,OK,OK,OK,1,""
24158,43.236,871.891,915.127,6.76049,0.267424,38560.30932,38.70941483,0.0001753225044,6.937446969e-06,1.60975768,0.2222429507,OK,OK,OK,1,""
24159,42.968,866.569,909.537,7.10463,0.277255,38645.67508,39.72752654,0.0001838402353,7.176771482e-06,1.687964883,0.2327846591,OK,OK,OK,1,""
24160,43.559,878.401,921.96,6.75665,0.269241,38570.52391,38.94985355,0.000175176516,6.982727074e-06,1.608417259,0.2221927066,OK,OK,OK,1,""
24161,43.313,873.097,916.41,6.72646,0.281054,38589.95727,40.4038359,0.0001743059717,7.285372747e-06,1.600424187,0.2220020761,OK,OK,OK,1,""
24185,43.007,866.713,909.72,6.68607,0.279185,38578.45773,40.5749959,0.0001733109718,7.239106079e-06,1.591288402,0.2207218685,OK,OK,OK,1,""
