# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 20
# N_valid_for_fit1: 20
# N_valid_for_fit2: 20
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000167029910215
# fit1_a_err: 6.91536481411e-06
# fit1_b_per_kHz: -1.41044207849e-08
# fit1_b_err_per_kHz: 8.1276605823e-09
# fit1_chi2: 11.5723112197
# fit1_ndf: 18
# fit1_prob: 0.868513923236
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -8.40449806267e-05
# fit2_m_err_per_kHz: 1.39339381007e-05
# tau_ns: 84.0449806267
# tau_ns_err: 13.9339381007
# fit2_chi2: 5.95549045775
# fit2_ndf: 19
# fit2_prob: 0.998031872728

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
23980,56.853,811.198,868.051,5.93815,0.33822,38543.70629,58.04485417,0.0001540627659,8.778040116e-06,0.9223663338,0.06496304579,OK,OK,OK,1,""
23992,59.403,846.294,905.697,5.94246,0.208604,38571.23857,35.81203287,0.0001540645367,5.41016984e-06,0.9223769353,0.05007473323,OK,OK,OK,1,""
23993,60.672,864.045,924.717,5.98878,0.191879,38491.58774,32.74429834,0.000155586723,4.986716122e-06,0.9314901913,0.04877123747,OK,OK,OK,1,""
23994,60.507,861.721,922.228,5.97354,0.177309,38481.09264,30.23309784,0.0001552331181,4.60930521e-06,0.929373176,0.04735048224,OK,OK,OK,1,""
23995,60.015,854.889,914.904,5.9652,0.218936,38541.38359,37.51999666,0.0001547738935,5.682541227e-06,0.9266238204,0.05127606273,OK,OK,OK,1,""
23996,42.734,613.949,656.683,6.16197,0.217755,38533.67676,38.48870973,0.0001599112911,5.653287785e-06,0.9573811712,0.05212174851,OK,OK,OK,1,""
23998,30.468,440.184,470.652,6.44793,0.274245,38576.76452,49.08708403,0.0001671454328,7.112252858e-06,1.000691628,0.05941052917,OK,OK,OK,1,""
24019,60.887,867.148,928.035,6.05673,0.199616,38576.98738,34.24516075,0.0001570037064,5.176360558e-06,0.9399736023,0.04974868418,OK,OK,OK,1,""
24020,60.656,863.795,924.451,6.17772,0.216774,38561.58714,36.31833257,0.0001602039869,5.623525531e-06,0.9591335268,0.05206153526,OK,OK,OK,1,""
24021,60.689,864.25,924.939,5.77049,0.196553,38514.10471,33.92508759,0.0001498279668,5.105109248e-06,0.8970127959,0.04809779536,OK,OK,OK,1,""
24022,61.147,870.652,931.799,5.91889,0.19691,38453.42841,33.66129416,0.0001539235965,5.122512175e-06,0.9215331334,0.04895112629,OK,OK,OK,1,""
24023,44.024,631.266,675.29,6.81291,0.514418,38344.34239,86.56512062,0.0001776770594,1.34217423e-05,1.063743968,0.09163293383,OK,OK,OK,1,""
24024,42.915,617.043,659.958,5.96978,0.222995,38440.15718,40.08694054,0.0001553006137,5.80335516e-06,0.9297772685,0.0518556436,OK,OK,OK,1,""
24026,30.654,442.971,473.625,5.85325,0.251595,38442.63689,46.68019654,0.0001522593265,6.547297293e-06,0.9115692289,0.05441392198,OK,OK,OK,1,""
24060,60.351,859.443,919.794,5.69649,0.204707,38431.05689,35.78976305,0.0001482262124,5.328391783e-06,0.8874231697,0.04865765748,OK,OK,OK,1,""
24061,61.975,882.116,944.091,5.88517,0.190383,38559.04653,32.84487721,0.0001526274773,4.939151911e-06,0.9137733304,0.04801742102,OK,OK,OK,1,""
24062,61.618,877.168,938.786,5.75604,0.192694,38581.86149,33.47810925,0.0001491903132,4.996096911e-06,0.8931951949,0.04756273445,OK,OK,OK,1,""
24063,59.853,852.661,912.514,5.98503,0.20555,38550.81634,35.55106629,0.0001552504089,5.333845221e-06,0.9294766949,0.05000622735,OK,OK,OK,1,""
24064,42.509,610.886,653.395,6.33812,0.233976,38468.06444,41.20672831,0.0001647631637,6.084904114e-06,0.9864290984,0.05472714188,OK,OK,OK,1,""
24065,30.367,438.733,469.1,5.96345,0.264646,38557.91191,49.18581162,0.0001546621615,6.866432792e-06,0.9259548863,0.05621054296,OK,OK,OK,1,""
