category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,23876,15.516,85.542,3.65491,0.175393,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23876_-1.root",OK
signal,23880,14.918,82.8,3.34299,0.22577,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23880_-1.root",OK
signal,23881,12.93,71.87,2.95732,0.19729,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23881_-1.root",OK
signal,23882,13.887,77.278,3.24178,0.185873,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23882_-1.root",OK
signal,23883,13.783,76.942,3.1939,0.186181,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23883_-1.root",OK
signal,23884,14.432,83.518,3.21483,0.186368,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23884_-1.root",OK
signal,23885,7.095,40.122,3.4841,0.242214,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23885_-1.root",OK
signal,23892,20.226,120.086,3.07715,0.154778,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23892_-1.root",OK
signal,23893,19.841,118.284,3.03554,0.161504,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23893_-1.root",OK
signal,23894,19.932,118.869,2.81186,0.161743,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23894_-1.root",OK
signal,23895,19.426,115.685,3.16133,0.161362,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23895_-1.root",OK
signal,23896,9.969,57.572,3.33714,0.188927,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23896_-1.root",OK
signal,23904,19.734,114.716,nan,nan,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23904_-1.root",OK
signal,23905,18.88,114.142,3.67563,0.180329,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23905_-1.root",OK
signal,23906,19.267,117.644,3.18954,0.175549,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23906_-1.root",OK
signal,23907,19.927,122.116,3.22811,0.17023,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23907_-1.root",OK
signal,23908,10.097,59.392,3.25606,0.202831,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23908_-1.root",OK
signal,23942,10.017,57.787,4.03857,0.235458,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23942_-1.root",OK
signal,23943,9.981,57.588,4.04243,0.429834,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23943_-1.root",OK
signal,23944,19.976,118.632,3.40106,0.176978,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23944_-1.root",OK
signal,23945,18.993,116.757,3.88298,0.227373,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23945_-1.root",OK
signal,23946,20.187,124.939,3.36184,0.171518,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23946_-1.root",OK
signal,23947,20.105,124.896,3.27262,0.172377,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23947_-1.root",OK
signal,23950,20.127,125.175,3.34407,0.161133,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23950_-1.root",OK
signal,23951,20.053,124.46,3.63431,0.156615,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23951_-1.root",OK
signal,23952,19.35,120.781,3.51546,0.174041,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23952_-1.root",OK
signal,23953,19.931,124.823,3.49403,0.176823,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23953_-1.root",OK
signal,23954,9.91,59.305,3.76561,0.219087,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23954_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-8.34391965211
# FIT_aerr,2.42246414123
# FIT_b,6.46764542358
# FIT_berr,0.143195003875
# FIT_b_over_berr,45.1666975003
# FIT_chi2,269.651206608
# FIT_ndf,26
# FIT_chi2ndf,10.3712002542
# FIT_prob,2.30706654746e-42
