# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 28
# N_valid_for_fit1: 28
# N_valid_for_fit2: 28
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000180881461734
# fit1_a_err: 8.64799803757e-06
# fit1_b_per_kHz: -1.15695983032e-09
# fit1_b_err_per_kHz: 1.11345975906e-08
# fit1_chi2: 62.2384977662
# fit1_ndf: 26
# fit1_prob: 8.32626614163e-05
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -9.69101033644e-06
# fit2_m_err_per_kHz: 1.79633657662e-05
# tau_ns: 9.69101033644
# tau_ns_err: 17.9633657662
# fit2_chi2: 35.4887330262
# fit2_ndf: 27
# fit2_prob: 0.12691269361

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
23876,16.837,665.685,682.522,3.89259,0.18599,20006.59251,25.00177618,0.0001945653663,9.29961477e-06,1.075651227,0.07271884234,OK,OK,OK,1,""
23880,16.204,642.367,658.571,3.8839,0.262065,19964.4489,33.35376246,0.000194540807,1.313060621e-05,1.075515451,0.08895918541,OK,OK,OK,1,""
23881,14.984,595.143,610.127,3.16763,0.209876,20040.455,30.31835412,0.0001580617805,1.047534617e-05,0.8738417913,0.07140968963,OK,OK,OK,1,""
23882,15.011,596.368,611.379,3.39643,0.195723,20036.50832,28.30554623,0.00016951207,9.7712536e-06,0.9371445163,0.07018322756,OK,OK,OK,1,""
23883,15.051,597.779,612.83,3.40073,0.197147,20022.26111,28.54541144,0.0001698474504,9.849367509e-06,0.938998661,0.07057252222,OK,OK,OK,1,""
23884,15.47,613.994,629.464,3.38362,0.19618,20052.82946,27.87905041,0.0001687352903,9.785970244e-06,0.9328501034,0.07011509045,OK,OK,OK,1,""
23885,7.655,307.786,315.441,3.63191,0.250678,20087.42911,39.77669742,0.0001808051185,1.248448184e-05,0.9995779376,0.08395051951,OK,OK,OK,1,""
23892,21.692,852.264,873.956,3.37489,0.166369,19997.80543,22.33183437,0.0001687630181,8.321497208e-06,0.9330033962,0.06408028963,OK,OK,OK,1,""
23893,21.488,843.894,865.382,3.28994,0.173719,20048.16297,23.60449114,0.0001641018185,8.667237017e-06,0.9072340354,0.06463288331,OK,OK,OK,1,""
23894,21.476,843.893,865.369,3.03052,0.173415,19999.75005,23.56778755,0.0001515278937,8.672696745e-06,0.8377193122,0.06247425591,OK,OK,OK,1,""
23895,21.287,836.612,857.899,3.40962,0.173619,19977.48164,23.30899535,0.000170673164,8.693016199e-06,0.9435636043,0.0659149751,OK,OK,OK,1,""
23896,10.755,430.623,441.378,3.49586,0.197845,20050.03097,29.78143789,0.0001743568379,9.870963814e-06,0.9639287312,0.07142784854,OK,OK,OK,1,""
23904,21.492,849.305,870.797,4.1365,0.193821,19980.09278,24.22083883,0.0002070310707,9.703951704e-06,1.144567656,0.0766331069,OK,OK,OK,1,""
23905,21.146,836.068,857.214,3.97666,0.194902,19971.42512,24.56128999,0.0001991174879,9.762115006e-06,1.100817552,0.07538360651,OK,OK,OK,1,""
23906,21.315,842.571,863.886,3.60108,0.190877,20035.54022,24.62785113,0.0001797346096,9.529481934e-06,0.9936596481,0.0709400478,OK,OK,OK,1,""
23907,21.443,847.708,869.151,3.48027,0.182905,20022.58523,23.85001979,0.0001738172149,9.13728029e-06,0.9609454349,0.06828296254,OK,OK,OK,1,""
23908,10.899,439.127,450.026,3.37428,0.21139,20051.7169,32.44695094,0.000168278857,1.054575556e-05,0.9303267198,0.07333161561,OK,OK,OK,1,""
23942,10.851,436.98,447.831,4.21442,0.246112,20097.94805,35.29760299,0.0002096940439,1.225116492e-05,1.159289857,0.08751823954,OK,OK,OK,1,""
23943,10.818,435.782,446.6,4.29373,0.449291,20200.40282,63.78526858,0.0002125566524,2.225180968e-05,1.175115738,0.1352408962,OK,OK,OK,1,""
23944,21.515,850.562,872.077,3.57471,0.187772,20056.81818,24.36262445,0.0001782291672,9.364506192e-06,0.9853368358,0.06999693631,OK,OK,OK,1,""
23945,21.162,836.782,857.944,4.14383,0.243292,20033.37815,30.47487655,0.0002068462927,1.214840786e-05,1.143546114,0.08660218151,OK,OK,OK,1,""
23946,21.666,856.25,877.916,3.65664,0.184091,20022.02393,23.85341288,0.0001826308875,9.196999188e-06,1.00967167,0.07011072948,OK,OK,OK,1,""
23947,21.609,854.127,875.736,3.51449,0.183966,20009.00355,24.02936594,0.0001756454284,9.196580398e-06,0.9710526811,0.0688507662,OK,OK,OK,1,""
23950,21.572,853.027,874.599,3.59992,0.171484,19972.34819,22.18604801,0.0001802452053,8.588405261e-06,0.9964824675,0.06726220095,OK,OK,OK,1,""
23951,21.822,862.462,884.284,3.90873,0.167348,20000.34568,21.46885648,0.0001954331221,8.369884788e-06,1.0804486,0.06935106743,OK,OK,OK,1,""
23952,21.468,848.797,870.265,3.79119,0.186306,19944.90936,23.78648735,0.00019008309,9.34378056e-06,1.050871041,0.07206069355,OK,OK,OK,1,""
23953,21.466,848.676,870.142,3.66773,0.188154,20019.76784,23.98363126,0.0001832054212,9.400973074e-06,1.012847969,0.07103621492,OK,OK,OK,1,""
23954,10.721,432.125,442.846,3.92783,0.2286,20030.93071,33.44187717,0.0001960882426,1.141704488e-05,1.084070422,0.08167203633,OK,OK,OK,1,""
