category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,24690,183700,175283,0.954181,"./Pass0p1_ROOTfiles/coin_replay_production_24690_-1.root",OK
signal,24691,1.58214e+06,1.39259e+06,0.880194,"./Pass0p1_ROOTfiles/coin_replay_production_24691_-1.root",OK
signal,24692,164321,156914,0.954924,"./Pass0p1_ROOTfiles/coin_replay_production_24692_-1.root",OK
signal,24693,160055,152674,0.953885,"./Pass0p1_ROOTfiles/coin_replay_production_24693_-1.root",OK
signal,24694,173406,165708,0.955607,"./Pass0p1_ROOTfiles/coin_replay_production_24694_-1.root",OK
signal,24695,205977,197141,0.957102,"./Pass0p1_ROOTfiles/coin_replay_production_24695_-1.root",OK
signal,24696,17055,16300,0.955731,"./Pass0p1_ROOTfiles/coin_replay_production_24696_-1.root",OK
signal,24697,186346,177933,0.954853,"./Pass0p1_ROOTfiles/coin_replay_production_24697_-1.root",OK
signal,24698,173054,165225,0.95476,"./Pass0p1_ROOTfiles/coin_replay_production_24698_-1.root",OK
signal,24699,192415,183796,0.955206,"./Pass0p1_ROOTfiles/coin_replay_production_24699_-1.root",OK
signal,24701,202044,193066,0.955564,"./Pass0p1_ROOTfiles/coin_replay_production_24701_-1.root",OK
signal,24702,104968,100296,0.955491,"./Pass0p1_ROOTfiles/coin_replay_production_24702_-1.root",OK
signal,24703,40855,39463,0.965928,"./Pass0p1_ROOTfiles/coin_replay_production_24703_-1.root",OK
signal,24713,214059,204274,0.954288,"./Pass0p1_ROOTfiles/coin_replay_production_24713_-1.root",OK
signal,24714,227056,216725,0.9545,"./Pass0p1_ROOTfiles/coin_replay_production_24714_-1.root",OK
signal,24715,220556,210793,0.955735,"./Pass0p1_ROOTfiles/coin_replay_production_24715_-1.root",OK
signal,24716,235281,224980,0.956218,"./Pass0p1_ROOTfiles/coin_replay_production_24716_-1.root",OK
signal,24717,216520,206697,0.954632,"./Pass0p1_ROOTfiles/coin_replay_production_24717_-1.root",OK
signal,24718,228362,217819,0.953832,"./Pass0p1_ROOTfiles/coin_replay_production_24718_-1.root",OK
signal,24719,216299,206617,0.955238,"./Pass0p1_ROOTfiles/coin_replay_production_24719_-1.root",OK
signal,24720,114736,110257,0.960963,"./Pass0p1_ROOTfiles/coin_replay_production_24720_-1.root",OK
signal,24721,113050,108378,0.958673,"./Pass0p1_ROOTfiles/coin_replay_production_24721_-1.root",OK
signal,24722,113405,108625,0.95785,"./Pass0p1_ROOTfiles/coin_replay_production_24722_-1.root",OK
signal,24723,105299,101165,0.96074,"./Pass0p1_ROOTfiles/coin_replay_production_24723_-1.root",OK
signal,24724,30798,29685,0.963861,"./Pass0p1_ROOTfiles/coin_replay_production_24724_-1.root",OK
signal,24725,32490,31325,0.964143,"./Pass0p1_ROOTfiles/coin_replay_production_24725_-1.root",OK
signal,24726,27137,26161,0.964034,"./Pass0p1_ROOTfiles/coin_replay_production_24726_-1.root",OK
signal,24727,22930,22148,0.965896,"./Pass0p1_ROOTfiles/coin_replay_production_24727_-1.root",OK
signal,24728,26549,25561,0.962786,"./Pass0p1_ROOTfiles/coin_replay_production_24728_-1.root",OK
signal,24729,26161,25224,0.964183,"./Pass0p1_ROOTfiles/coin_replay_production_24729_-1.root",OK
positron,24861,272927,258288,0.946363,"./Pass0p1_ROOTfiles/coin_replay_production_24861_-1.root",OK
positron,24862,258417,245239,0.949005,"./Pass0p1_ROOTfiles/coin_replay_production_24862_-1.root",OK
positron,24863,241216,229012,0.949406,"./Pass0p1_ROOTfiles/coin_replay_production_24863_-1.root",OK
positron,24864,353497,334367,0.945884,"./Pass0p1_ROOTfiles/coin_replay_production_24864_-1.root",OK
dummy,24707,75828,72805,0.960133,"./Pass0p1_ROOTfiles/coin_replay_production_24707_-1.root",OK
dummy,24708,78215,74820,0.956594,"./Pass0p1_ROOTfiles/coin_replay_production_24708_-1.root",OK
dummy,24709,80220,76895,0.958551,"./Pass0p1_ROOTfiles/coin_replay_production_24709_-1.root",OK
dummy,24710,22571,21756,0.963892,"./Pass0p1_ROOTfiles/coin_replay_production_24710_-1.root",OK
dummy,24730,70597,67744,0.959588,"./Pass0p1_ROOTfiles/coin_replay_production_24730_-1.root",OK
dummy,24731,77574,74454,0.95978,"./Pass0p1_ROOTfiles/coin_replay_production_24731_-1.root",OK
dummy,24732,71051,68058,0.957875,"./Pass0p1_ROOTfiles/coin_replay_production_24732_-1.root",OK
dummy,24733,20241,19567,0.966701,"./Pass0p1_ROOTfiles/coin_replay_production_24733_-1.root",OK
