category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,24690,936.189,885.289,752.923,614.855,50,0.04680945,0.04426445,0.03764615,0.03074275,0.95319055,0.95573555,0.96235385,0.96925725,0.991029232296,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24690_-1.report",OK
signal,24691,928.002,877.798,746.81,609.753,50,0.0464001,0.0438899,0.0373405,0.03048765,0.9535999,0.9561101,0.9626595,0.96951235,0.991175761407,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24691_-1.report",OK
signal,24692,891.033,842.907,717.297,586.005,50,0.04455165,0.04214535,0.03586485,0.02930025,0.95544835,0.95785465,0.96413515,0.97069975,0.991842892765,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24692_-1.report",OK
signal,24693,863.166,816.575,695.111,568.104,50,0.0431583,0.04082875,0.03475555,0.0284052,0.9568417,0.95917125,0.96524445,0.9715948,0.992329179823,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24693_-1.report",OK
signal,24694,827.475,782.987,666.481,544.94,50,0.04137375,0.03914935,0.03332405,0.027247,0.95862625,0.96085065,0.96667595,0.972753,0.99293293072,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24694_-1.report",OK
signal,24695,947.321,896.493,763.056,624.41,50,0.04736605,0.04482465,0.0381528,0.0312205,0.95263395,0.95517535,0.9618472,0.9687795,0.990796731739,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24695_-1.report",OK
signal,24696,943.788,893.375,760.389,622.214,50,0.0471894,0.04466875,0.03801945,0.0311107,0.9528106,0.95533125,0.96198055,0.9688893,0.990860388884,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24696_-1.report",OK
signal,24697,921.33,872.009,742.165,607.43,50,0.0460665,0.04360045,0.03710825,0.0303715,0.9539335,0.95639955,0.96289175,0.9696285,0.991280136414,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24697_-1.report",OK
signal,24698,878.62,831.521,707.953,579.22,50,0.043931,0.04157605,0.03539765,0.028961,0.956069,0.95842395,0.96460235,0.971039,0.992050050235,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24698_-1.report",OK
signal,24699,908.701,860.208,732.117,599.408,50,0.04543505,0.0430104,0.03660585,0.0299704,0.95456495,0.9569896,0.96339415,0.9700296,0.991508199718,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24699_-1.report",OK
signal,24701,861.471,815.747,694.103,568.42,50,0.04307355,0.04078735,0.03470515,0.028421,0.95692645,0.95921265,0.96529485,0.971579,0.992345014922,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24701_-1.report",OK
signal,24702,640.844,607.54,516.631,420.388,50,0.0320422,0.030377,0.02583155,0.0210194,0.9679578,0.969623,0.97416845,0.9789806,0.995716693194,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24702_-1.report",OK
signal,24703,341.801,324.443,275.87,222.759,50,0.01709005,0.01622215,0.0137935,0.01113795,0.98290995,0.98377785,0.9862065,0.98886205,0.998762541559,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24703_-1.report",OK
signal,24713,874.615,828.464,704.618,576.301,50,0.04373075,0.0414232,0.0352309,0.02881505,0.95626925,0.9585768,0.9647691,0.97118495,0.992118997255,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24713_-1.report",OK
signal,24714,883.555,836.803,712.002,582.762,50,0.04417775,0.04184015,0.0356001,0.0291381,0.95582225,0.95815985,0.9643999,0.9708619,0.991957661578,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24714_-1.report",OK
signal,24715,869.229,823.236,700.395,573.466,50,0.04346145,0.0411618,0.03501975,0.0286733,0.95653855,0.9588382,0.96498025,0.9713267,0.992209448116,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24715_-1.report",OK
signal,24716,913.964,865.766,736.384,603.249,50,0.0456982,0.0432883,0.0368192,0.03016245,0.9543018,0.9567117,0.9631808,0.96983755,0.991406847089,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24716_-1.report",OK
signal,24717,941.371,891.757,758.527,621.569,50,0.04706855,0.04458785,0.03792635,0.03107845,0.95293145,0.95541215,0.96207365,0.96892155,0.990896177819,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24717_-1.report",OK
signal,24718,887.972,841.167,715.676,586.376,50,0.0443986,0.04205835,0.0357838,0.0293188,0.9556014,0.95794165,0.9642162,0.9706812,0.991873627441,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24718_-1.report",OK
signal,24719,964.167,913.4,777.091,636.917,50,0.04820835,0.04567,0.03885455,0.03184585,0.95179165,0.95433,0.96114545,0.96815415,0.990459199385,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24719_-1.report",OK
signal,24720,659.134,625.452,531.493,432.859,50,0.0329567,0.0312726,0.02657465,0.02164295,0.9670433,0.9687274,0.97342535,0.97835705,0.995468717047,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24720_-1.report",OK
signal,24721,653.299,619.813,526.746,428.816,50,0.03266495,0.03099065,0.0263373,0.0214408,0.96733505,0.96900935,0.9736627,0.9785592,0.995548564658,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24721_-1.report",OK
signal,24722,659.71,625.885,532.013,433.015,50,0.0329855,0.03129425,0.02660065,0.02165075,0.9670145,0.96870575,0.97339935,0.97834925,0.995462104206,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24722_-1.report",OK
signal,24723,633.101,600.806,510.585,415.556,50,0.03165505,0.0300403,0.02552925,0.0207778,0.96834495,0.9699597,0.97447075,0.9792222,0.995813709093,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24723_-1.report",OK
signal,24724,335.37,318.666,270.778,218.667,50,0.0167685,0.0159333,0.0135389,0.01093335,0.9832315,0.9840667,0.9864611,0.98906665,0.998807149928,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24724_-1.report",OK
signal,24725,332.111,315.498,268.149,216.428,50,0.01660555,0.0157749,0.01340745,0.0108214,0.98339445,0.9842251,0.98659255,0.9891786,0.998830396174,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24725_-1.report",OK
signal,24726,337.845,320.928,272.742,220.063,50,0.01689225,0.0160464,0.0136371,0.01100315,0.98310775,0.9839536,0.9863629,0.98899685,0.998790393475,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24726_-1.report",OK
signal,24727,334.08,317.452,269.673,217.589,50,0.016704,0.0158726,0.01348365,0.01087945,0.983296,0.9841274,0.98651635,0.98912055,0.998816862442,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24727_-1.report",OK
signal,24728,325.798,309.492,262.96,212.006,50,0.0162899,0.0154746,0.013148,0.0106003,0.9837101,0.9845254,0.986852,0.9893997,0.998874916434,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24728_-1.report",OK
signal,24729,323.753,307.382,261.274,210.539,50,0.01618765,0.0153691,0.0130637,0.01052695,0.98381235,0.9846309,0.9869363,0.98947305,0.99888956023,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24729_-1.report",OK
positron,24861,844.573,795.597,676.008,548.309,50,0.04222865,0.03977985,0.0338004,0.02741545,0.95777135,0.96022015,0.9661996,0.97258455,0.9927262612,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24861_-1.report",OK
positron,24862,823.599,776.35,659.688,534.995,50,0.04117995,0.0388175,0.0329844,0.02674975,0.95882005,0.9611825,0.9670156,0.97325025,0.993068499779,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_24862_-1.report",OK
