# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh11p075_thpq5p2/manifest.json
# rel_under_settings: pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh11p075_thpq5p2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh11p075_thpq5p2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh11p075_thpq5p2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 30
# N_valid_for_fit1: 30
# N_valid_for_fit2: 30
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000126773058816
# fit1_a_err: 3.10235839981e-06
# fit1_b_per_kHz: -1.65130493582e-09
# fit1_b_err_per_kHz: 7.50602412415e-09
# fit1_chi2: 26.0403332119
# fit1_ndf: 28
# fit1_prob: 0.570827459986
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -1.3576659791e-05
# fit2_m_err_per_kHz: 1.91712935481e-05
# tau_ns: 13.576659791
# tau_ns_err: 19.1712935481
# fit2_chi2: 17.609600119
# fit2_ndf: 29
# fit2_prob: 0.951843517913

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24690,56.542,425.026,481.568,2.53053,0.0827136,19911.15691,14.93374476,0.0001270910581,4.155226772e-06,1.002508414,0.04094141245,OK,OK,OK,1,""
24691,56.071,421.511,477.582,2.6707,0.101554,19879.09601,17.09115793,0.0001343471554,5.109888032e-06,1.059745317,0.04792960236,OK,OK,OK,1,""
24692,53.876,404.701,458.577,2.5578,0.0864048,19908.8317,15.60869809,0.0001284756453,4.341192328e-06,1.013430192,0.04228118589,OK,OK,OK,1,""
24693,52.212,392.129,444.341,2.55839,0.087,19950.5701,15.81062361,0.0001282364357,4.361961656e-06,1.01154328,0.04238699874,OK,OK,OK,1,""
24694,50.061,375.935,425.996,2.58474,0.0838156,19963.48477,15.21489076,0.0001294733875,4.199604798e-06,1.021300493,0.04149753378,OK,OK,OK,1,""
24695,57.343,430.877,488.22,2.48972,0.0770768,19930.68625,14.10984996,0.00012491893,3.868253695e-06,0.9853744253,0.03889130205,OK,OK,OK,1,""
24696,57.134,429.358,486.492,2.50056,0.2731,19955.7008,49.14630783,0.0001253055468,1.368879137e-05,0.9884241017,0.1106547953,OK,OK,OK,1,""
24697,55.79,419.008,474.798,2.47951,0.0813351,19934.85582,14.812221,0.0001243806337,4.08109113e-06,0.9811282845,0.04015977902,OK,OK,OK,1,""
24698,53.203,399.481,452.684,2.46267,0.0830387,20058.99001,15.31638364,0.0001227713857,4.140786163e-06,0.9684343573,0.04035500428,OK,OK,OK,1,""
24699,48.44,413.339,461.779,2.08508,0.0685877,17298.5797,12.71372315,0.0001205347512,3.965921981e-06,0.950791535,0.03898773871,OK,OK,OK,1,""
24701,52.083,391.749,443.832,2.44795,0.0765927,20029.72905,14.21712121,0.000122215832,3.824934731e-06,0.9640520874,0.03830018838,OK,OK,OK,1,""
24702,38.527,288.666,327.193,2.63839,0.0889566,20326.09256,17.05470794,0.0001298031086,4.377828201e-06,1.02390137,0.04266556056,OK,OK,OK,1,""
24703,20.379,152.34,172.719,2.65514,0.100792,20455.28354,20.60933704,0.0001298021606,4.929166304e-06,1.023893892,0.04625605063,OK,OK,OK,1,""
24713,52.978,397.763,450.741,2.61227,0.0764872,19982.88202,13.82770604,0.0001307253877,3.828704836e-06,1.03117641,0.03935613118,OK,OK,OK,1,""
24714,53.565,402.071,455.636,2.56612,0.0746309,20002.89815,13.5231387,0.0001282874102,3.732012262e-06,1.011945372,0.03846928943,OK,OK,OK,1,""
24715,52.668,395.52,448.188,2.58052,0.0756969,19964.59721,13.68329127,0.000129254799,3.792591361e-06,1.019576243,0.03895552652,OK,OK,OK,1,""
24716,55.389,415.937,471.326,2.44533,0.0725881,19959.36757,13.25922283,0.0001225154049,3.637704174e-06,0.9664151522,0.03718463708,OK,OK,OK,1,""
24717,57.074,428.597,485.671,2.5675,0.0764489,19980.32708,13.86401597,0.0001285013999,3.827247433e-06,1.013633347,0.03907336846,OK,OK,OK,1,""
24718,53.831,404.17,458.001,2.53527,0.0736683,19986.03893,13.45180318,0.0001268520495,3.686976707e-06,1.000623087,0.03801907846,OK,OK,OK,1,""
