# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh14p375_thpq8p5/manifest.json
# rel_under_settings: pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh14p375_thpq8p5
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh14p375_thpq8p5/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh14p375_thpq8p5/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 22
# N_valid_for_fit1: 22
# N_valid_for_fit2: 22
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 5.60665075772e-05
# fit1_a_err: 3.6385442328e-06
# fit1_b_per_kHz: 5.68147120665e-08
# fit1_b_err_per_kHz: 2.18664834633e-08
# fit1_chi2: 12.2651275393
# fit1_ndf: 20
# fit1_prob: 0.906648213649
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: 0.001014241493
# fit2_m_err_per_kHz: 0.000121302553356
# tau_ns: -1014.241493
# tau_ns_err: 121.302553356
# fit2_chi2: 4.21013619876
# fit2_ndf: 21
# fit2_prob: 0.999969045263

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24734,53.442,117.154,170.596,1.26408,0.0582869,19882.81795,16.3356912,6.357650124e-05,2.931986406e-06,1.133947948,0.09027843232,OK,OK,OK,1,""
24736,54.367,119.183,173.55,1.3459,0.0566044,19862.08899,14.61390627,6.776225807e-05,2.850307516e-06,1.208604941,0.09346929681,OK,OK,OK,1,""
24737,53.4,116.426,169.826,1.27708,0.0730914,19843.22816,20.17607441,6.435847987e-05,3.684024229e-06,1.147895288,0.09933298995,OK,OK,OK,1,""
24738,56.186,123.195,179.381,1.23245,0.0485058,20017.80784,13.66503868,6.156768063e-05,2.423496926e-06,1.098118704,0.08334907567,OK,OK,OK,1,""
24739,53.756,117.783,171.539,1.31429,0.0512478,20033.93116,14.2598276,6.560320037e-05,2.558476278e-06,1.170096073,0.08859222181,OK,OK,OK,1,""
24740,55.356,121.337,176.693,1.31249,0.0514323,19957.75514,14.18182627,6.57634083e-05,2.577482036e-06,1.172953536,0.08892599152,OK,OK,OK,1,""
24741,55.475,121.629,177.104,1.31572,0.0522311,19963.55133,14.3878882,6.59061095e-05,2.616754209e-06,1.175498749,0.08943097532,OK,OK,OK,1,""
24742,53.998,118.348,172.346,1.32736,0.0474288,20022.03814,13.14410927,6.629494913e-05,2.369229536e-06,1.182434077,0.08760228933,OK,OK,OK,1,""
24743,55.521,121.671,177.192,1.33591,0.0524411,19947.52597,14.42412795,6.697121247e-05,2.62939858e-06,1.194495883,0.09060144339,OK,OK,OK,1,""
24744,53.176,116.501,169.677,1.50145,0.14087,19947.7697,37.70130964,7.52690663e-05,7.063375081e-06,1.342496074,0.1531732783,OK,OK,OK,1,""
24745,54.773,120.068,174.841,1.30221,0.0629081,19972.44574,17.44659779,6.520032734e-05,3.150259338e-06,1.162910446,0.09408877786,OK,OK,OK,1,""
24746,54.743,119.973,174.716,1.29019,0.0524695,19924.97631,14.64789485,6.475239819e-05,2.633783415e-06,1.1549212,0.0884555163,OK,OK,OK,1,""
24747,38.542,83.828,122.37,1.26197,0.0584215,20218.42968,17.20635168,6.241681575e-05,2.89000538e-06,1.113263844,0.08875066179,OK,OK,OK,1,""
24748,19.186,41.381,60.567,1.20379,0.0770183,20386.13746,24.32012104,5.904943996e-05,3.778630832e-06,1.053203463,0.09598870922,OK,OK,OK,1,""
24766,53.177,116.52,169.697,1.31432,0.0533815,19925.28152,14.7521886,6.596243063e-05,2.679528941e-06,1.17650329,0.09007561698,OK,OK,OK,1,""
24767,54.372,119.115,173.487,1.38307,0.0530605,19913.65885,14.41714204,6.945333404e-05,2.66500233e-06,1.238766904,0.09339312163,OK,OK,OK,1,""
24768,49.577,108.548,158.125,1.27465,0.0525598,19920.62966,14.83430705,6.398643124e-05,2.638890994e-06,1.141259444,0.08775436116,OK,OK,OK,1,""
24769,53.94,118.137,172.077,1.37674,0.0840488,19907.20247,22.82142357,6.915788404e-05,4.222774015e-06,1.23349727,0.1099123168,OK,OK,OK,1,""
24770,54.767,120.06,174.827,1.37175,0.0425823,19934.47598,11.62102731,6.881294504e-05,2.136489977e-06,1.227344952,0.08829701552,OK,OK,OK,1,""
24772,57.739,126.596,184.335,1.30976,0.0509696,19856.97168,14.0229319,6.595970529e-05,2.567259131e-06,1.176454681,0.08902664623,OK,OK,OK,1,""
24773,38.775,84.333,123.108,1.23312,0.0608909,20188.7289,18.16515484,6.107962547e-05,3.016584551e-06,1.089413771,0.08884408254,OK,OK,OK,1,""
24774,19.432,41.921,61.353,1.25661,0.081671,20335.03908,25.11296836,6.179530785e-05,4.016994614e-06,1.102178654,0.1012400253,OK,OK,OK,1,""
