# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 21
# N_valid_for_fit1: 21
# N_valid_for_fit2: 21
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000187985157342
# fit1_a_err: 7.53053917939e-06
# fit1_b_per_kHz: -2.72129362887e-08
# fit1_b_err_per_kHz: 9.19674387927e-09
# fit1_chi2: 27.1401367322
# fit1_ndf: 19
# fit1_prob: 0.101431029484
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.000144647002011
# fit2_m_err_per_kHz: 1.41691094815e-05
# tau_ns: 144.647002011
# tau_ns_err: 14.1691094815
# fit2_chi2: 15.716477965
# fit2_ndf: 20
# fit2_prob: 0.734050358256

run,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24089,30.471,817.61,848.081,3.46436,0.149186,20089.81782,21.74528364,0.0001724435747,7.428296289e-06,0.9173254801,0.05396136584,OK,OK,OK,1,""
24091,30.363,814.861,845.224,3.88082,0.196823,20108.05842,26.16440823,0.0001929982457,9.791485707e-06,1.026667469,0.06636620366,OK,OK,OK,1,""
24092,31.713,850.828,882.541,3.04774,0.128505,20109.46193,19.27958045,0.0001515575111,6.391927153e-06,0.8062206254,0.04689589224,OK,OK,OK,1,""
24093,32.114,861.502,893.616,3.44914,0.135204,20084.96316,19.68239268,0.0001717274746,6.733706269e-06,0.913516136,0.05120817828,OK,OK,OK,1,""
24094,31.239,838.168,869.407,3.319,0.1389,20062.2588,20.24004901,0.0001654350107,6.925459143e-06,0.880042941,0.05099070716,OK,OK,OK,1,""
24095,21.214,573.684,594.898,3.38684,0.162573,20188.28899,25.56305093,0.0001677626074,8.05563829e-06,0.8924247519,0.05580671906,OK,OK,OK,1,""
24096,10.223,278.733,288.956,4.01807,0.202246,20211.33263,32.56387108,0.0001988028238,1.001168941e-05,1.057545322,0.06805253073,OK,OK,OK,1,""
24130,31.432,843.181,874.613,3.19011,0.123886,20048.17722,18.45462324,0.0001591221967,6.181150386e-06,0.8464614919,0.0472329992,OK,OK,OK,1,""
24131,32.05,859.9,891.95,3.27051,0.132006,20076.80752,19.66398894,0.0001628999031,6.576984881e-06,0.8665572614,0.04928595731,OK,OK,OK,1,""
24132,30.634,821.831,852.465,3.27376,0.153534,20043.83277,22.81411498,0.0001633300396,7.662167831e-06,0.868845402,0.05359792914,OK,OK,OK,1,""
24133,31.326,840.13,871.456,3.26393,0.131538,20097.67793,19.47860966,0.0001624033389,6.546827627e-06,0.8639157538,0.04909756173,OK,OK,OK,1,""
24134,21.623,584.763,606.386,3.46124,0.148031,20161.73591,23.25458189,0.0001716737098,7.344844862e-06,0.9132301307,0.05352487242,OK,OK,OK,1,""
24135,10.797,294.273,305.07,3.28361,0.192683,20185.93307,33.83749918,0.0001626682298,9.549303592e-06,0.8653248593,0.06149849213,OK,OK,OK,1,""
24150,32.341,867.182,899.523,3.43615,0.130594,20117.81275,19.12046793,0.000170801371,6.493490603e-06,0.9085896645,0.05017927435,OK,OK,OK,1,""
24151,32.251,864.599,896.85,3.23752,0.127365,20100.30206,18.89836565,0.0001610682263,6.338281295e-06,0.85681353,0.04811360274,OK,OK,OK,1,""
24153,31.718,850.472,882.19,3.19844,0.128647,20092.76258,19.34213363,0.0001591836855,6.404487139e-06,0.8467885858,0.04807687072,OK,OK,OK,1,""
24155,32.258,864.974,897.232,3.40408,0.135748,20070.87624,19.89779198,0.000169602959,6.76552135e-06,0.9022146291,0.05100490914,OK,OK,OK,1,""
24156,21.81,589.296,611.106,3.50471,0.149324,20151.92886,23.48089357,0.0001739143694,7.412681435e-06,0.9251494738,0.05411473409,OK,OK,OK,1,""
24157,10.788,293.93,304.718,3.61299,0.204359,20177.68399,34.63353675,0.0001790587067,1.013263327e-05,0.9525151308,0.06604015136,OK,OK,OK,1,""
24178,31.222,837.378,868.6,3.09829,0.139639,20079.37672,21.1264619,0.0001543021003,6.956244074e-06,0.8208206565,0.04950253712,OK,OK,OK,1,""
24179,31.923,855.529,887.452,3.2874,0.130159,20094.3109,19.31269657,0.0001635985437,6.479313613e-06,0.8702737281,0.04902425835,OK,OK,OK,1,""
