category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,23977,144794,137992,0.953023,"./Pass0p1_ROOTfiles/coin_replay_production_23977_-1.root",OK
signal,23979,1.32812e+06,1.16063e+06,0.873891,"./Pass0p1_ROOTfiles/coin_replay_production_23979_-1.root",OK
signal,23985,170765,162584,0.952092,"./Pass0p1_ROOTfiles/coin_replay_production_23985_-1.root",OK
signal,23986,164979,156625,0.949363,"./Pass0p1_ROOTfiles/coin_replay_production_23986_-1.root",OK
signal,23987,145933,138891,0.951745,"./Pass0p1_ROOTfiles/coin_replay_production_23987_-1.root",OK
signal,23988,156995,149486,0.95217,"./Pass0p1_ROOTfiles/coin_replay_production_23988_-1.root",OK
signal,23989,239446,227654,0.950753,"./Pass0p1_ROOTfiles/coin_replay_production_23989_-1.root",OK
signal,23990,74902,71666,0.956797,"./Pass0p1_ROOTfiles/coin_replay_production_23990_-1.root",OK
signal,23991,21082,20345,0.965041,"./Pass0p1_ROOTfiles/coin_replay_production_23991_-1.root",OK
signal,24011,231111,219655,0.950431,"./Pass0p1_ROOTfiles/coin_replay_production_24011_-1.root",OK
signal,24012,233757,222102,0.950141,"./Pass0p1_ROOTfiles/coin_replay_production_24012_-1.root",OK
signal,24013,256272,243771,0.95122,"./Pass0p1_ROOTfiles/coin_replay_production_24013_-1.root",OK
signal,24014,240468,228772,0.951362,"./Pass0p1_ROOTfiles/coin_replay_production_24014_-1.root",OK
signal,24015,126805,121367,0.957115,"./Pass0p1_ROOTfiles/coin_replay_production_24015_-1.root",OK
signal,24016,37549,36148,0.962689,"./Pass0p1_ROOTfiles/coin_replay_production_24016_-1.root",OK
signal,24054,225115,215494,0.957262,"./Pass0p1_ROOTfiles/coin_replay_production_24054_-1.root",OK
signal,24055,226608,216777,0.956617,"./Pass0p1_ROOTfiles/coin_replay_production_24055_-1.root",OK
signal,24056,238308,227083,0.952897,"./Pass0p1_ROOTfiles/coin_replay_production_24056_-1.root",OK
signal,24057,211798,202516,0.956175,"./Pass0p1_ROOTfiles/coin_replay_production_24057_-1.root",OK
signal,24058,104721,100682,0.961431,"./Pass0p1_ROOTfiles/coin_replay_production_24058_-1.root",OK
signal,24059,35550,34420,0.968214,"./Pass0p1_ROOTfiles/coin_replay_production_24059_-1.root",OK
signal,24081,230571,220260,0.955281,"./Pass0p1_ROOTfiles/coin_replay_production_24081_-1.root",OK
signal,24082,222578,212664,0.955458,"./Pass0p1_ROOTfiles/coin_replay_production_24082_-1.root",OK
positron,24584,443705,419971,0.94651,"./Pass0p1_ROOTfiles/coin_replay_production_24584_-1.root",OK
dummy,23981,179582,170929,0.951816,"./Pass0p1_ROOTfiles/coin_replay_production_23981_-1.root",OK
dummy,23999,162870,154388,0.947922,"./Pass0p1_ROOTfiles/coin_replay_production_23999_-1.root",OK
dummy,24032,175890,167172,0.950435,"./Pass0p1_ROOTfiles/coin_replay_production_24032_-1.root",OK
dummy,24066,139193,133322,0.957821,"./Pass0p1_ROOTfiles/coin_replay_production_24066_-1.root",OK
dummy,24084,154729,148300,0.95845,"./Pass0p1_ROOTfiles/coin_replay_production_24084_-1.root",OK
dummy,24085,162336,155566,0.958296,"./Pass0p1_ROOTfiles/coin_replay_production_24085_-1.root",OK
dummy,24086,166119,159232,0.958542,"./Pass0p1_ROOTfiles/coin_replay_production_24086_-1.root",OK
positron_dummy,24585,109263,103924,0.951136,"./Pass0p1_ROOTfiles/coin_replay_production_24585_-1.root",OK
positron_dummy,24587,81059,76801,0.94747,"./Pass0p1_ROOTfiles/coin_replay_production_24587_-1.root",OK
