# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
# rel_under_settings: pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# reference_lowN: 2
# r_ref: 0.000133139340719
# r_ref_err: 5.21036748647e-06
# N_total: 23
# N_used_in_fit: 22
#REF,ref_index,run,rate_kHz,raw_ratio,raw_ratio_err
#REF,1,23991,214.853,0.000148521984602,8.52126066002e-06
#REF,2,24016,280.868,0.000123953889531,6.58473958609e-06
# fit_model: y = 1 + m * x   (x in kHz)
# m_per_kHz: -0.000116742316439
# m_per_kHz_err: 1.6129442831e-05
# tau_ns: 116.742316439
# tau_ns_err: 16.129442831
# chi2: 15.0627617485
# ndf: 21
# prob: 0.819789473557

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,scaled_ratio,scaled_ratio_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
23977,631.346,2.6381,0.104768,20068.27974,20.63837386,0.0001314562102,5.222327153e-06,0.9873581279,0.05506005503,OK,OK,OK,1,""
23979,nan,nan,nan,20125.47734,24.59979907,nan,nan,nan,nan,NONFINITE,OK,BAD_STATUS,0,"status_yield=NONFINITE, status_el=OK"
23985,690.124,2.44836,0.0943577,20053.3125,19.08875136,0.0001220925471,4.706777394e-06,0.9170283283,0.05037563164,OK,OK,OK,1,""
23986,651.729,2.51827,0.0965785,20098.24799,19.42705908,0.0001252979862,4.806845387e-06,0.9411041512,0.05157446386,OK,OK,OK,1,""
23987,634.162,2.46585,0.101538,20141.61941,20.60575752,0.0001224256079,5.042759001e-06,0.9195299242,0.05224494306,OK,OK,OK,1,""
23988,662.561,2.3387,0.0965857,20125.37189,19.97924857,0.0001162065483,4.800587097e-06,0.8728190154,0.04966721907,OK,OK,OK,1,""
23989,797.677,2.50503,0.0903067,20032.42084,17.58190022,0.0001250487907,4.509363103e-06,0.9392324611,0.04998188674,OK,OK,OK,1,""
23990,423.218,2.83132,0.119723,20173.25349,23.98391575,0.000140350192,5.937084577e-06,1.054160184,0.06074906626,OK,OK,OK,1,""
23991,214.853,3.01532,0.172922,20302.17956,35.01078361,0.0001485219846,8.52126066e-06,1.11553793,0.07747384476,OK,OK,OK,1,""
24011,766.359,2.47165,0.0909816,20010.48672,17.85812274,0.0001235177352,4.548032061e-06,0.9277328139,0.04985044117,OK,OK,OK,1,""
24012,782.553,2.30913,0.0887628,20064.55369,17.88993199,0.0001150850418,4.42505106e-06,0.864395461,0.04742331975,OK,OK,OK,1,""
24013,825.874,2.33679,0.0851966,19968.70495,17.05275641,0.0001170226114,4.267676245e-06,0.8789484069,0.04701757022,OK,OK,OK,1,""
24014,778.77,2.2837,0.0878428,19966.99345,17.51617353,0.0001143737542,4.400544451e-06,0.8590530307,0.04714518385,OK,OK,OK,1,""
24015,546.883,2.52941,0.101893,20107.11989,20.75926029,0.0001257967334,5.069172505e-06,0.9448502051,0.05307447493,OK,OK,OK,1,""
24016,280.868,2.50707,0.133134,20225.8276,28.78637994,0.0001239538895,6.584739586e-06,0.9310087376,0.06142910774,OK,OK,OK,1,""
24054,777.499,2.4604,0.0922102,20000.42301,18.03886384,0.0001230173981,4.611747362e-06,0.9239748181,0.05007327936,OK,OK,OK,1,""
24055,680.741,2.34812,0.0893682,20068.29486,17.88646497,0.000117006453,4.45442437e-06,0.8788270424,0.04798139641,OK,OK,OK,1,""
24056,803.751,2.58053,0.0910488,20010.47428,17.58230816,0.0001289589624,4.551467743e-06,0.9686014794,0.05104433652,OK,OK,OK,1,""
24057,752.545,2.37151,0.0932118,20006.73117,18.55858483,0.0001185356058,4.660319295e-06,0.890312399,0.04938830646,OK,OK,OK,1,""
24058,542.297,2.56627,0.112827,20100.15476,22.76941119,0.0001276741414,5.615103286e-06,0.9589512811,0.05645414684,OK,OK,OK,1,""
24059,287.326,2.51335,0.137637,20202.06311,29.59070008,0.0001244105608,6.815453642e-06,0.9344387623,0.06291061243,OK,OK,OK,1,""
24081,753.418,2.5146,0.0897573,20140.30197,17.76066979,0.0001248541359,4.457961356e-06,0.9377704236,0.04967879678,OK,OK,OK,1,""
24082,766.343,2.40812,0.0915683,20201.92984,18.1767383,0.0001192024732,4.533919867e-06,0.8953211916,0.04886042556,OK,OK,OK,1,""
