category,run,BCM2_I,yield,yield_err,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,rootfile,status
signal,23977,30.501,2.85261,0.11282,32.412,659.064,691.476,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23977_-1.root",OK
signal,23979,31.629,2.91025,0.14379,33.613,683.438,717.051,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23979_-1.root",OK
signal,23985,32.304,2.65203,0.101582,34.207,695.831,730.038,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23985_-1.root",OK
signal,23986,31.6,2.7754,0.104973,33.552,682.247,715.799,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23986_-1.root",OK
signal,23987,31.173,2.67685,0.109847,33.077,672.611,705.688,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23987_-1.root",OK
signal,23988,31.557,2.50326,0.103698,33.497,681.244,714.741,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23988_-1.root",OK
signal,23989,38.373,2.76717,0.0984624,40.577,824.002,864.579,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23989_-1.root",OK
signal,23990,20.185,2.97957,0.126405,21.506,438.046,459.552,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23990_-1.root",OK
signal,23991,9.988,3.15469,0.179893,10.686,218.049,228.735,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23991_-1.root",OK
signal,24011,38.121,2.67283,0.0983525,40.222,817.005,857.227,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24011_-1.root",OK
signal,24012,38.511,2.52879,0.0966374,40.774,827.712,868.486,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24012_-1.root",OK
signal,24013,39.357,2.54101,0.0921424,41.55,843.587,885.137,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24013_-1.root",OK
signal,24014,37.232,2.47312,0.0949452,39.2,796.208,835.408,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24014_-1.root",OK
signal,24015,26.498,2.70705,0.108708,28.145,572.665,600.81,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24015_-1.root",OK
signal,24016,13.054,2.61135,0.138384,13.947,284.563,298.51,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24016_-1.root",OK
signal,24054,38.032,2.69209,0.0998058,40.212,816.249,856.461,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24054_-1.root",OK
signal,24055,36.92,2.56602,0.0969306,39.087,793.426,832.513,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24055_-1.root",OK
signal,24056,39.393,2.76333,0.0981154,41.587,844.1,885.687,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24056_-1.root",OK
signal,24057,37.692,2.5529,0.100618,39.821,808.529,848.35,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24057_-1.root",OK
signal,24058,26.53,2.69515,0.119217,28.181,573.424,601.605,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24058_-1.root",OK
signal,24059,13.273,2.57338,0.141652,14.17,289.223,303.393,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24059_-1.root",OK
signal,24081,36.242,2.70065,0.0962768,38.431,773.127,811.558,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24081_-1.root",OK
signal,24082,36.911,2.59162,0.098457,39.291,790.094,829.385,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24082_-1.root",OK
# FIT_MODEL,pol0
# FIT_C,2.66645299395
# FIT_Cerr,0.0223393415515
# FIT_chi2,36.6414987226
# FIT_ndf,22
# FIT_chi2ndf,1.66552266921
# FIT_prob,0.0258889203857
