category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,yield,yield_err,rootfile,status
signal,25318,9.114,16.356,4385461,268125.5197,81.743,1.0849,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25318_-1.root",OK
signal,25319,9.088,16.077,4306159,267845.929,84.9208,1.11157,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25319_-1.root",OK
signal,25320,9.115,5.158,1381095,267757.8519,87.4201,1.97336,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25320_-1.root",OK
signal,25321,9.118,7.825,2098059,268122.5559,87.0694,1.60359,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25321_-1.root",OK
signal,25322,5.032,9,2428691,269854.5556,89.4701,1.39796,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25322_-1.root",OK
signal,25323,5.027,8.915,2404687,269734.9411,86.8127,1.38687,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25323_-1.root",OK
signal,25344,9.116,16.729,4478687,267719.9474,81.4807,1.07182,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25344_-1.root",OK
signal,25345,9.113,9.515,2546869,267668.8387,82.9071,1.43331,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25345_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,268353.767398
# FIT_cerr,320.419145474
# FIT_chi2,5749432.01205
# FIT_ndf,7
# FIT_chi2ndf,821347.430292
# FIT_prob,0
