# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2/manifest.json
# rel_under_settings: pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 10
# N_valid_for_fit1: 10
# N_valid_for_fit2: 10
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000379203405847
# fit1_a_err: 4.19487774992e-06
# fit1_b_per_kHz: -3.2827617591e-08
# fit1_b_err_per_kHz: 5.96661364461e-09
# fit1_chi2: 19.7225379855
# fit1_ndf: 8
# fit1_prob: 0.0114383322291
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -8.60621843528e-05
# fit2_m_err_per_kHz: 6.49339723752e-06
# tau_ns: 86.0621843528
# tau_ns_err: 6.49339723752
# fit2_chi2: 9.34040155766
# fit2_ndf: 9
# fit2_prob: 0.40646384603

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
25280,821.654,92.7259,0.752524,266370.5294,86.4736792,0.0003481087049,2.827361688e-06,0.9179999427,0.01259847005,OK,OK,OK,1,""
25281,825.707,95.1083,0.758287,266187.7196,86.15425965,0.0003572978503,2.851038951e-06,0.9422327037,0.01285196325,OK,OK,OK,1,""
25282,420.113,98.0497,1.03725,266755.9158,125.621012,0.0003675633573,3.892236879e-06,0.9693039452,0.01484360368,OK,OK,OK,1,""
25283,422.469,95.9962,0.98936,266676.9315,120.8819035,0.0003599718936,3.713543769e-06,0.9492844421,0.0143589899,OK,OK,OK,1,""
25309,806.757,92.9044,0.759692,265821.9056,87.29106563,0.0003494986607,2.860201953e-06,0.9216654053,0.01268249149,OK,OK,OK,1,""
25310,821.915,96.2706,1.48072,265600.1275,167.977112,0.0003624644344,5.579708359e-06,0.9558575394,0.01811960958,OK,OK,OK,1,""
25311,797.405,95.0021,0.935736,265922.124,106.5824759,0.0003572553444,3.521746845e-06,0.942120611,0.01395965135,OK,OK,OK,1,""
25312,419.163,97.0286,1.00605,266384.6886,122.1413007,0.0003642424064,3.780371954e-06,0.9605462419,0.01457036105,OK,OK,OK,1,""
25313,422.501,98.772,1.00414,266463.9362,121.0327413,0.0003706768031,3.772149267e-06,0.9775144351,0.01469312444,OK,OK,OK,1,""
25314,782.172,91.8796,1.14825,266140.4991,132.5581723,0.0003452296825,4.317875614e-06,0.9104076524,0.01520154069,OK,OK,OK,1,""
