category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25280,20.255,3146.06,25.5321,0.0294736,92.7259,0.752524,35.622,1,0.9991,0.960065,1.00707,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25280_-1.root",OK,1,""
signal,25281,20.357,3240.86,25.839,0.0293466,95.1083,0.758287,35.862,1,0.9991,0.957803,1.00711,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25281_-1.root",OK,1,""
signal,25282,10.128,1595.32,16.8766,0.0614606,98.0497,1.03725,16.904,1,0.9992,0.966707,1.00354,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25282_-1.root",OK,1,""
signal,25283,10.183,1687.31,17.3899,0.056893,95.9962,0.98936,18.25,1,0.9993,0.967219,1.00356,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25283_-1.root",OK,1,""
signal,25309,19.892,3086.81,25.2413,0.0300972,92.9044,0.759692,34.886,1,0.9989,0.960081,1.00695,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25309_-1.root",OK,1,""
signal,25310,20.268,862.987,13.2735,0.111555,96.2706,1.48072,9.413,1,0.999,0.960022,1.00708,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25310_-1.root",OK,1,""
signal,25311,19.65,2116.31,20.8449,0.0448904,95.0021,0.935736,23.409,1,0.9991,0.959015,1.00686,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25311_-1.root",OK,1,""
signal,25312,10.107,1667.21,17.2867,0.0581981,97.0286,1.00605,17.856,1,0.9991,0.966559,1.00353,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25312_-1.root",OK,1,""
signal,25313,10.187,1729.8,17.5855,0.0571002,98.772,1.00414,18.19,1,0.9991,0.967081,1.00356,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25313_-1.root",OK,1,""
signal,25314,19.273,1325.62,16.5668,0.0693104,91.8796,1.14825,15.146,1,0.999,0.959958,1.00673,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25314_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,95.0307,0.294561,52.7076,9,5.8564,3.3207e-08,10
