category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25363,37.665,5.09,69.3945,0.478535,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25363_-1.root",OK
signal,25364,45.637,6.455,69.5893,0.447415,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25364_-1.root",OK
signal,25365,22.169,2.127,72.5501,0.558318,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25365_-1.root",OK
signal,25366,20.86,1.994,72.4792,0.797045,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25366_-1.root",OK
signal,25379,55.659,9.158,68.3719,0.51959,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25379_-1.root",OK
signal,25380,28.75,3.159,71.2201,0.502309,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25380_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-2.45773558339
# FIT_aerr,0.35058015772
# FIT_b,0.202758913829
# FIT_berr,0.00939626513369
# FIT_b_over_berr,21.5786709873
# FIT_chi2,0.335708774986
# FIT_ndf,4
# FIT_chi2ndf,0.0839271937464
# FIT_prob,0.987393951262
