category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,24960,8.437,8.112,83.2989,2.72106,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24960_-1.root",OK
signal,24961,8.188,7.756,90.779,1.14569,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24961_-1.root",OK
signal,24962,8.081,7.584,88.783,1.17418,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24962_-1.root",OK
signal,24964,7.914,7.406,91.9788,1.14453,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24964_-1.root",OK
signal,24965,3.917,2.674,96.9691,1.37902,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24965_-1.root",OK
signal,24966,3.98,2.734,94.0297,1.51781,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24966_-1.root",OK
signal,24998,7.987,7.459,89.8759,1.09762,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24998_-1.root",OK
signal,24999,7.992,7.504,89.4744,1.10383,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24999_-1.root",OK
signal,25000,3.971,2.72,94.3838,1.47889,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25000_-1.root",OK
signal,25001,3.996,2.75,91.6953,1.52961,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25001_-1.root",OK
signal,25007,8.052,7.603,92.6228,1.1455,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25007_-1.root",OK
signal,25008,7.888,7.426,86.6434,3.0758,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25008_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-2.00967278958
# FIT_aerr,0.0335996049372
# FIT_b,1.19204598678
# FIT_berr,0.00481717902873
# FIT_b_over_berr,247.457273161
# FIT_chi2,0.0104608398929
# FIT_ndf,10
# FIT_chi2ndf,0.00104608398929
# FIT_prob,1
