# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/manifest.json
# rel_under_settings: pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 12
# N_valid_for_fit1: 12
# N_valid_for_fit2: 12
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000374875547339
# fit1_a_err: 5.99838638149e-06
# fit1_b_per_kHz: -2.8323846958e-08
# fit1_b_err_per_kHz: 8.56036198369e-09
# fit1_chi2: 18.4946556118
# fit1_ndf: 10
# fit1_prob: 0.047171125178
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -7.8475068562e-05
# fit2_m_err_per_kHz: 8.90297432236e-06
# tau_ns: 78.475068562
# tau_ns_err: 8.90297432236
# fit2_chi2: 9.21294044664
# fit2_ndf: 11
# fit2_prob: 0.602244149859

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24960,824.122,88.776,2.85743,266815.1394,326.0381149,0.0003327247479,1.071711477e-05,0.8875605525,0.03192166949,OK,OK,OK,1,""
24961,803.269,94.1363,1.18847,266634.9507,134.2322985,0.0003530531153,4.460834936e-06,0.9417875288,0.01920129228,OK,OK,OK,1,""
24962,788.784,92.4992,1.21921,266360.2878,138.4290816,0.0003472709868,4.580853133e-06,0.9263634006,0.01921025839,OK,OK,OK,1,""
24964,778.754,95.911,1.19073,266583.8243,133.5979347,0.0003597780182,4.470262696e-06,0.9597265567,0.01944279754,OK,OK,OK,1,""
24965,395.083,99.634,1.41487,267036.6735,169.7157564,0.0003731098006,5.303714567e-06,0.9952897788,0.02130234777,OK,OK,OK,1,""
24966,400.053,96.761,1.55795,266808.741,188.8387751,0.0003626605322,5.844840337e-06,0.9674158124,0.02197068725,OK,OK,OK,1,""
24998,781.235,93.2205,1.13745,266422.2709,129.1008027,0.0003498975506,4.272715684e-06,0.9333698958,0.01878715949,OK,OK,OK,1,""
24999,781.913,93.266,1.14666,266495.4989,129.9792483,0.0003499721398,4.306121299e-06,0.9335688665,0.0188438779,OK,OK,OK,1,""
25000,398.792,96.9704,1.51607,267095.6962,183.8738203,0.0003630548952,5.681630336e-06,0.9684677963,0.02167593033,OK,OK,OK,1,""
25001,399.635,94.188,1.56554,267016.1313,191.8712526,0.0003527427333,5.868567944e-06,0.9409595687,0.02172008611,OK,OK,OK,1,""
25007,785.423,96.1078,1.18767,266279.904,133.2454909,0.0003609277251,4.463886576e-06,0.9627934596,0.01947117444,OK,OK,OK,1,""
25008,773.032,91.4686,3.21577,266933.5363,368.0088457,0.0003426643249,1.205634036e-05,0.9140748904,0.03533055007,OK,OK,OK,1,""
