category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24907,18.679,2866.95,24.5551,0.0336916,96.5922,0.827302,31.34,1,0.9991,0.954102,1.00652,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24907_-1.root",OK,1,""
signal,24908,19.031,3267,26.2479,0.0294327,96.1568,0.772546,35.9,1,0.9991,0.95355,1.00665,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24908_-1.root",OK,1,""
signal,24909,9.518,1766.1,17.8708,0.0569049,100.5,1.01694,18.318,1,0.9992,0.963299,1.00333,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24909_-1.root",OK,1,""
signal,24910,9.58,1646.92,17.29,0.0602528,99.2318,1.04177,17.288,1,0.9991,0.964095,1.00335,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24910_-1.root",OK,1,""
signal,24938,19.171,3247.91,26.2759,0.029428,95.5794,0.773247,35.872,1,0.9991,0.954495,1.0067,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24938_-1.root",OK,1,""
signal,24939,18.873,1385.32,17.1346,0.0666942,92.3931,1.14278,15.829,1,0.9991,0.95434,1.00659,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24939_-1.root",OK,1,""
signal,24943,18.992,3593.21,27.6698,0.0263405,94.6471,0.728838,40.045,1,0.9991,0.95519,1.00663,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24943_-1.root",OK,1,""
signal,24944,18.977,3418.91,26.8603,0.0283182,96.8173,0.760634,37.254,1,0.9991,0.955042,1.00663,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24944_-1.root",OK,1,""
signal,24945,18.956,2322.49,22.1735,0.0407058,94.5387,0.902589,25.983,1,0.9991,0.952602,1.00662,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24945_-1.root",OK,1,""
signal,24946,9.664,1734.64,17.7658,0.0567551,98.4496,1.0083,18.399,1,0.9991,0.961735,1.00338,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24946_-1.root",OK,1,""
signal,24947,9.57,1738.28,17.6905,0.0583954,101.507,1.03305,17.864,1,0.9992,0.962586,1.00334,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24947_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,96.6774,0.265165,75.0333,10,7.50333,4.68732e-12,11
