category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,24877,39.88,10.598,2809440,265091.5267,158.1561067,69.8204,1.15008,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24877_-1.root",OK
signal,24878,50.226,56.906,15090895,265189.8745,68.26521135,66.5451,0.498546,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24878_-1.root",OK
signal,24879,42.653,11.334,3005034,265134.4627,152.9471845,69.2948,1.11299,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24879_-1.root",OK
signal,24880,39.009,74.598,19802198,265452.1301,59.65261893,69.9244,0.432203,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24880_-1.root",OK
signal,24881,38.68,74.874,19867247,265342.4019,59.53026427,70.3924,0.432477,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24881_-1.root",OK
signal,24882,26.707,46.445,12348231,265867.8222,75.65948929,72.3945,0.534695,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24882_-1.root",OK
signal,24883,12.845,22.421,5996586,267453.994,109.218713,74.954,0.745862,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24883_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,265564.013252
# FIT_cerr,29.893567385
# FIT_chi2,379.797847166
# FIT_ndf,6
# FIT_chi2ndf,63.2996411944
# FIT_prob,6.14517491502e-79
