category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25328,19.321,5.083,49.09,0.603328,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25328_-1.root",OK
signal,25329,19.807,5.339,47.6686,0.56193,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25329_-1.root",OK
signal,25330,19.211,5.235,46.8257,0.614099,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25330_-1.root",OK
signal,25331,19.968,5.507,47.2847,0.552652,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25331_-1.root",OK
signal,25333,10.118,2.09,50.4645,0.735888,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25333_-1.root",OK
signal,25334,10.016,2.064,50.9116,0.758314,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25334_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-1.32965057812
# FIT_aerr,0.127718254837
# FIT_b,0.338232072701
# FIT_berr,0.0075083019683
# FIT_b_over_berr,45.0477450333
# FIT_chi2,0.0272832614679
# FIT_ndf,4
# FIT_chi2ndf,0.00682081536697
# FIT_prob,0.999907794851
