category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,25539,1348.66,1294.333,1169.732,1018.231,50,0.067433,0.06471665,0.0584866,0.05091155,0.932567,0.93528335,0.9415134,0.94908845,0.97990423222,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25539_-1.report",OK
signal,25540,1320.723,1267.794,1145.866,997.934,50,0.06603615,0.0633897,0.0572933,0.0498967,0.93396385,0.9366103,0.9427067,0.9501033,0.980683573172,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25540_-1.report",OK
signal,25541,1309.822,1258.142,1137.17,990.72,50,0.0654911,0.0629071,0.0568585,0.049536,0.9345089,0.9370929,0.9431415,0.950464,0.980967866511,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25541_-1.report",OK
signal,25542,1348.218,1294.828,1170.812,1019.946,50,0.0674109,0.0647414,0.0585406,0.0509973,0.9325891,0.9352586,0.9414594,0.9490027,0.979880704035,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25542_-1.report",OK
signal,25543,1330.423,1277.869,1155.465,1006.916,50,0.06652115,0.06389345,0.05777325,0.0503458,0.93347885,0.93610655,0.94222675,0.9496542,0.980381431362,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25543_-1.report",OK
signal,25544,1340.008,1287.513,1163.906,1014.573,50,0.0670004,0.06437565,0.0581953,0.05072865,0.9329996,0.93562435,0.9418047,0.94927135,0.980101747484,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25544_-1.report",OK
signal,25545,1275.123,1225.24,1107.497,965.454,50,0.06375615,0.061262,0.05537485,0.0482727,0.93624385,0.938738,0.94462515,0.9517273,0.981909960004,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25545_-1.report",OK
signal,25547,1347.672,1295.261,1170.826,1020.707,50,0.0673836,0.06476305,0.0585413,0.05103535,0.9326164,0.93523695,0.9414587,0.94896465,0.979875055783,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25547_-1.report",OK
signal,25548,1336.275,1281.666,1158.685,1010.136,50,0.06681375,0.0640833,0.05793425,0.0505068,0.93318625,0.9359167,0.94206575,0.9494932,0.980254723148,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25548_-1.report",OK
dummy,25546,1294.178,1238.222,1119.163,954.187,50,0.0647089,0.0619111,0.05595815,0.04770935,0.9352911,0.9380889,0.94404185,0.95229065,0.981672315597,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25546_-1.report",OK
