category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,yield,yield_err,rootfile,status
signal,25286,42.07,73.887,10255127,138794.7406,51.5116,0.385986,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25286_-1.root",OK
signal,25287,39.7,66.198,9174249,138588.0087,52.0736,0.40784,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25287_-1.root",OK
signal,25288,40.283,45.686,6323101,138403.4715,51.7966,0.490127,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25288_-1.root",OK
signal,25289,21.561,37.451,5300401,141528.9578,54.3214,0.514178,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25289_-1.root",OK
signal,25290,21.385,35.425,5009040,141398.4474,52.8539,0.522242,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25290_-1.root",OK
signal,25315,39.731,65.177,9054290,138918.4835,51.751,0.408596,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25315_-1.root",OK
signal,25316,20.308,33.004,4662765,141278.7844,56.0681,0.55287,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25316_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,139844.41343
# FIT_cerr,554.723380508
# FIT_chi2,12924157.213
# FIT_ndf,6
# FIT_chi2ndf,2154026.20217
# FIT_prob,0
