category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,yield_no_CB_corr,yield_no_CB_corr_err,yield_CB_corr,yield_CB_corr_err,yield_no_hodo3of4_corr,yield_no_hodo3of4_corr_err,yield_hodo3of4_corr,yield_hodo3of4_corr_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,hodo3of4_LT,DPR_ns,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24913,37.188,3605.36,27.3703,0.0155611,56.1033,0.425911,51.9239,0.394183,54.4633,0.413461,54.4633,0.413461,56.1033,0.425911,71.371,1,0.9991,0.953374,0.970767,50,1705.47,1624.82,1371.33,1184.87,1.02695,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24913_-1.root",OK,1,""
signal,24914,38.398,1370.78,16.9044,0.0397442,54.4803,0.671851,50.2885,0.620157,52.7918,0.651028,52.7918,0.651028,54.4803,0.671851,28.043,1,0.9991,0.952581,0.969006,50,1758.49,1675.14,1414.39,1222.67,1.02786,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24914_-1.root",OK,1,""
signal,24915,36.856,2281.2,21.7419,0.0248751,56.7451,0.540831,52.5212,0.500573,55.1141,0.525286,55.1141,0.525286,56.7451,0.540831,44.648,1,0.999,0.952954,0.971257,50,1690.19,1610.14,1359.02,1174.92,1.02693,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24915_-1.root",OK,1,""
signal,24916,37.925,2164.8,21.1698,0.0287155,62.1633,0.607901,52.7333,0.515685,60.2781,0.589466,60.2781,0.589466,62.1633,0.607901,42.206,1,0.999,0.874834,0.969674,50,1738.59,1655.95,1397.89,1208.97,1.02709,"ps5",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24916_-1.root",OK,1,""
signal,24917,24.307,294.487,7.4593,0.190355,56.0572,1.41992,53.0276,1.34318,55.2929,1.40055,55.2929,1.40055,56.0572,1.41992,5.657,1,0.999,0.959031,0.986365,50,1148.31,1095.36,921.809,789.733,1.01762,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24917_-1.root",OK,1,""
signal,24920,25.109,2599.76,22.1267,0.0223015,57.9787,0.493459,54.8252,0.466619,57.1384,0.486307,57.1384,0.486307,57.9787,0.493459,48.328,1,0.9991,0.959515,0.985506,50,1187.04,1131.11,951.045,813.202,1.01825,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24920_-1.root",OK,1,""
signal,24921,12.824,1302.45,14.8752,0.0444317,57.87,0.660928,55.8021,0.637311,57.6329,0.65822,57.6329,0.65822,57.87,0.660928,23.584,1,0.999,0.968234,0.995902,50,621.982,593.804,498.342,421.773,1.00942,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24921_-1.root",OK,1,""
signal,24948,36.328,3946.99,28.5938,0.0137868,54.4162,0.394216,50.4977,0.365829,52.897,0.38321,52.897,0.38321,54.4162,0.394216,80.287,1,0.9991,0.954642,0.972082,50,1663.02,1585.72,1338.43,1158.25,1.02627,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24948_-1.root",OK,1,""
signal,24949,37.93,3665.62,27.5998,0.0155013,56.822,0.427834,52.5347,0.395553,55.1046,0.414903,55.1046,0.414903,56.822,0.427834,71.752,1,0.9991,0.953363,0.969776,50,1733.36,1652.76,1395.89,1208.5,1.0274,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24949_-1.root",OK,1,""
signal,24950,25.283,2498.85,21.7521,0.0226269,56.5413,0.492183,53.3905,0.464755,55.7135,0.484976,55.7135,0.484976,56.5413,0.492183,47.705,1,0.9991,0.958305,0.985358,50,1190.58,1136.23,956.717,820.11,1.01835,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24950_-1.root",OK,1,""
signal,24951,12.624,1511.66,16.0257,0.0379734,57.403,0.608549,55.4385,0.587723,57.175,0.606132,57.175,0.606132,57.403,0.608549,27.539,1,0.9993,0.969628,0.996028,50,610.915,584.196,490.477,416.37,1.00925,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24951_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,56.7394,0.159169,138.727,10,13.8727,7.68345e-25,11
