category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,25499,1306.909,1259.963,1171.585,1049.275,50,0.06534545,0.06299815,0.05857925,0.05246375,0.93465455,0.93700185,0.94142075,0.94753625,0.980223579289,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25499_-1.report",OK
signal,25500,1302.456,1255.52,1167.626,1046.067,50,0.0651228,0.062776,0.0583813,0.05230335,0.9348772,0.937224,0.9416187,0.94769665,0.980350507918,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25500_-1.report",OK
signal,25501,1305.241,1257.041,1169.563,1047.899,50,0.06526205,0.06285205,0.05847815,0.05239495,0.93473795,0.93714795,0.94152185,0.94760505,0.980286718807,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25501_-1.report",OK
signal,25502,1306.769,1259.079,1171.379,1049.675,50,0.06533845,0.06295395,0.05856895,0.05248375,0.93466155,0.93704605,0.94143105,0.94751625,0.980229928792,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25502_-1.report",OK
signal,25503,1302.813,1255.752,1168.231,1047.001,50,0.06514065,0.0627876,0.05841155,0.05235005,0.93485935,0.9372124,0.94158845,0.94764995,0.980333475304,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25503_-1.report",OK
signal,25504,675.518,650.909,605.219,539.442,50,0.0337759,0.03254545,0.03026095,0.0269721,0.9662241,0.96745455,0.96973905,0.9730279,0.99452017222,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25504_-1.report",OK
signal,25505,676.548,651.95,606.089,540.124,50,0.0338274,0.0325975,0.03030445,0.0270062,0.9661726,0.9674025,0.96969555,0.9729938,0.994504458701,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25505_-1.report",OK
signal,25515,1041.455,1004.183,933.649,835.906,50,0.05207275,0.05020915,0.04668245,0.0417953,0.94792725,0.94979085,0.95331755,0.9582047,0.987231169493,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25515_-1.report",OK
signal,25516,1206.138,1162.732,1081.651,968.698,50,0.0603069,0.0581366,0.05408255,0.0484349,0.9396931,0.9418634,0.94591745,0.9515651,0.983043782988,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25516_-1.report",OK
signal,25517,1218.591,1173.549,1091.801,976.427,50,0.06092955,0.05867745,0.05459005,0.04882135,0.93907045,0.94132255,0.94540995,0.95117865,0.982739311259,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25517_-1.report",OK
signal,25518,1230.659,1185.169,1103.037,986.757,50,0.06153295,0.05925845,0.05515185,0.04933785,0.93846705,0.94074155,0.94484815,0.95066215,0.982400732032,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25518_-1.report",OK
signal,25519,1218.652,1173.858,1092.458,977.882,50,0.0609326,0.0586929,0.0546229,0.0488941,0.9390674,0.9413071,0.9453771,0.9511059,0.982720419016,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25519_-1.report",OK
signal,25520,1219.305,1174.502,1093.096,978.665,50,0.06096525,0.0587251,0.0546548,0.04893325,0.93903475,0.9412749,0.9453452,0.95106675,0.982700096148,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25520_-1.report",OK
dummy,25514,793.418,760.201,679.177,587.873,50,0.0396709,0.03801005,0.03395885,0.02939365,0.9603291,0.96198995,0.96604115,0.97060635,0.992914270614,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25514_-1.report",OK
