category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25076,8.037,96.677,58.7258,0.979335,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25076_-1.root",OK
signal,25077,8.048,96.702,55.7368,0.979123,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25077_-1.root",OK
signal,25078,8.004,96.106,55.5676,0.939276,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25078_-1.root",OK
signal,25079,5.02,58.011,59.2838,1.14011,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25079_-1.root",OK
signal,25080,4.985,57.698,56.8864,1.12819,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25080_-1.root",OK
signal,25108,10.019,115.607,55.4826,0.888066,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25108_-1.root",OK
signal,25109,10,122.395,55.8916,0.866754,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25109_-1.root",OK
signal,25110,10.078,124.031,55.6931,0.86187,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25110_-1.root",OK
signal,25111,6.086,71.391,59.025,1.05896,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25111_-1.root",OK
signal,25112,6.057,70.903,57.7554,1.05884,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25112_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-4.66181912047
# FIT_aerr,2.83220400368
# FIT_b,12.5257315378
# FIT_berr,0.359936675747
# FIT_b_over_berr,34.7998200289
# FIT_chi2,37.7920045119
# FIT_ndf,8
# FIT_chi2ndf,4.72400056399
# FIT_prob,8.22441631177e-06
