# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/manifest.json
# rel_under_settings: pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 10
# N_valid_for_fit1: 10
# N_valid_for_fit2: 10
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000226094016807
# fit1_a_err: 5.20667845719e-06
# fit1_b_per_kHz: -2.11194267196e-08
# fit1_b_err_per_kHz: 7.60836520169e-09
# fit1_chi2: 11.0284185245
# fit1_ndf: 8
# fit1_prob: 0.200094160011
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -9.37435417397e-05
# fit2_m_err_per_kHz: 1.27764581925e-05
# tau_ns: 93.7435417397
# tau_ns_err: 12.7764581925
# fit2_chi2: 4.08787723365
# fit2_ndf: 9
# fit2_prob: 0.90553395631

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
25076,673.261,58.7258,0.979335,267806.6174,137.3061636,0.0002192843499,3.658601657e-06,0.9698812601,0.02758100476,OK,OK,OK,1,""
25077,673.138,55.7368,0.979123,267838.3883,140.0780495,0.0002080986238,3.65726822e-06,0.9204074779,0.02666317665,OK,OK,OK,1,""
25078,669.547,55.5676,0.939276,267927.2691,133.7685583,0.0002073980756,3.507241501e-06,0.917308996,0.02620836236,OK,OK,OK,1,""
25079,426.079,59.2838,1.14011,269504.4248,171.5936526,0.0002199733828,4.232712192e-06,0.9729288103,0.02919724162,OK,OK,OK,1,""
25080,423.613,56.8864,1.12819,269690.9487,171.4938371,0.0002109318102,4.185419561e-06,0.932938488,0.02835967783,OK,OK,OK,1,""
25108,830.299,55.4826,0.888066,267103.358,121.9615072,0.00020771959,3.326155391e-06,0.9187310345,0.02576927916,OK,OK,OK,1,""
25109,828.743,55.8916,0.866754,267177.8486,119.1331793,0.0002091924922,3.245449494e-06,0.9252455908,0.02569146058,OK,OK,OK,1,""
25110,835.072,55.6931,0.86187,267066.0763,118.2972527,0.0002085367815,3.228500583e-06,0.9223454227,0.02559419807,OK,OK,OK,1,""
25111,514.22,59.025,1.05896,268400.0357,154.8801098,0.0002199142778,3.947494319e-06,0.9726673923,0.02840012987,OK,OK,OK,1,""
25112,511.716,57.7554,1.05884,268186.704,155.6414242,0.0002153551952,3.950122695e-06,0.9525028494,0.02804257618,OK,OK,OK,1,""
