category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,yield_no_CB_corr,yield_no_CB_corr_err,yield_CB_corr,yield_CB_corr_err,yield_no_hodo3of4_corr,yield_no_hodo3of4_corr_err,yield_hodo3of4_corr,yield_hodo3of4_corr_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,hodo3of4_LT,DPR_ns,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25076,8.098,836.362,13.9072,0.0740879,61.9644,1.03036,58.7016,0.976105,61.3005,1.01932,61.3005,1.01932,61.9644,1.03036,14.298,1,0.9993,0.957604,0.989287,50,953.806,910.993,851.592,768.191,1.00283,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25076_-1.root",OK,1,""
signal,25077,8.102,764.587,13.3708,0.0770772,58.9323,1.03058,55.8353,0.976424,58.3033,1.01958,58.3033,1.01958,58.9323,1.03058,13.742,1,0.9993,0.95767,0.989326,50,945.699,911.508,851.919,768.644,1.00283,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25077_-1.root",OK,1,""
signal,25078,8.065,840.262,14.0719,0.0702513,59.0295,0.988569,55.9591,0.937149,58.405,0.978109,58.405,0.978109,59.0295,0.988569,15.07,1,0.9992,0.958123,0.98942,50,941.42,907.455,847.981,765.212,1.00282,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25078_-1.root",OK,1,""
signal,25079,5.074,548.737,10.4656,0.112927,61.9673,1.18185,59.4445,1.13373,61.6953,1.17666,61.6953,1.17666,61.9673,1.18185,9.253,1,0.9994,0.963518,0.99561,50,600.594,578.372,540.931,486.627,1.00177,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25079_-1.root",OK,1,""
signal,25080,5.052,523.575,10.3488,0.113209,59.2735,1.17158,56.6919,1.12055,59.0149,1.16647,59.0149,1.16647,59.2735,1.17158,9.261,1,0.999,0.960638,0.995637,50,600.601,576.012,538.605,484.43,1.00177,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25080_-1.root",OK,1,""
signal,25108,10.112,992.925,15.8896,0.059155,58.7365,0.939952,55.2727,0.884522,57.7913,0.924826,57.7913,0.924826,58.7365,0.939952,18.042,1,0.9992,0.956419,0.983908,50,1168.47,1126.92,1053.02,951.829,1.00353,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25108_-1.root",OK,1,""
signal,25109,10.082,1056.53,16.3065,0.0563768,59.5635,0.919308,56.0862,0.86564,58.6104,0.904599,58.6104,0.904599,59.5635,0.919308,18.919,1,0.9992,0.956932,0.984,50,1164.99,1123.43,1049.9,949.147,1.00352,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25109_-1.root",OK,1,""
signal,25110,10.141,1062.11,16.4101,0.0557839,59.2488,0.915422,55.6135,0.859256,58.2906,0.900617,58.2906,0.900617,59.2488,0.915422,19.183,1,0.9991,0.954074,0.983828,50,1171.5,1129.46,1055.89,954.491,1.00354,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25110_-1.root",OK,1,""
signal,25111,6.141,662.55,11.8521,0.093125,61.6999,1.10373,58.8687,1.05308,61.3089,1.09673,61.3089,1.09673,61.6999,1.10373,11.289,1,0.9991,0.960199,0.993662,50,725.196,697.345,651.86,587.034,1.00215,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25111_-1.root",OK,1,""
signal,25112,6.12,640.312,11.7097,0.0939618,60.1649,1.10026,57.5283,1.05205,59.7863,1.09334,59.7863,1.09334,60.1649,1.10026,11.162,1,0.9993,0.962233,0.993707,50,721.338,695.463,649.792,585.205,1.00214,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25112_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,59.939,0.324331,13.8923,9,1.54359,0.126209,10
