# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2/manifest.json
# rel_under_settings: pass5/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 11
# N_valid_for_fit1: 11
# N_valid_for_fit2: 11
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000206461908402
# fit1_a_err: 3.70620413139e-06
# fit1_b_per_kHz: -6.50686473036e-09
# fit1_b_err_per_kHz: 5.0042969294e-09
# fit1_chi2: 46.0683807428
# fit1_ndf: 9
# fit1_prob: 5.84861514112e-07
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -3.04811922256e-05
# fit2_m_err_per_kHz: 9.47988014606e-06
# tau_ns: 30.4811922256
# tau_ns_err: 9.47988014606
# fit2_chi2: 18.7462715507
# fit2_ndf: 10
# fit2_prob: 0.0436063139037

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
25205,818.163,28.4815,0.3891,139772.3775,49.15953851,0.0002037705912,2.784734233e-06,0.9869645825,0.02226693128,OK,OK,OK,1,""
25206,814.148,27.9988,0.390866,140017.5188,49.65149316,0.0001999664059,2.79245115e-06,0.9685389788,0.02202760037,OK,OK,OK,1,""
25207,839.243,28.5185,0.37869,140098.9615,47.86708529,0.0002035596816,2.703912511e-06,0.9859430401,0.02201726761,OK,OK,OK,1,""
25208,842.485,30.5989,0.467663,140139.1348,54.35327107,0.0002183465742,3.338207855e-06,1.05756348,0.02493653112,OK,OK,OK,1,""
25210,426.929,28.1882,0.477485,141422.9417,69.82822217,0.0001993184392,3.377724983e-06,0.9654005463,0.02383227952,OK,OK,OK,1,""
25211,431.33,29.2499,0.485828,141394.5955,69.98913467,0.0002068671712,3.437498378e-06,1.001962894,0.02450945531,OK,OK,OK,1,""
25217,838.931,27.1429,0.387775,140488.3344,49.75593041,0.0001932039419,2.761041607e-06,0.9357849272,0.02147145989,OK,OK,OK,1,""
25218,815.136,27.3994,0.368239,140536.8301,47.23374471,0.0001949624165,2.62105049e-06,0.9443021136,0.02117801046,OK,OK,OK,1,""
25219,839.4,28.0071,0.366014,140443.4406,46.61224884,0.0001994190678,2.606971269e-06,0.9658879419,0.02144920194,OK,OK,OK,1,""
25220,433.663,29.119,0.465252,141332.3046,67.40492904,0.00020603216,3.293367532e-06,0.9979185102,0.02398641917,OK,OK,OK,1,""
25221,434.618,28.7302,0.487507,141470.7806,70.52913847,0.0002030822187,3.447477736e-06,0.9836304441,0.02430217024,OK,OK,OK,1,""
