category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,yield_no_CB_corr,yield_no_CB_corr_err,yield_CB_corr,yield_CB_corr_err,yield_no_hodo3of4_corr,yield_no_hodo3of4_corr_err,yield_hodo3of4_corr,yield_hodo3of4_corr_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,hodo3of4_LT,DPR_ns,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25205,31.314,1533.41,20.9487,0.0188816,28.9533,0.395544,27.2113,0.371746,28.4815,0.3891,28.4815,0.3891,28.9533,0.395544,57.837,1,0.999,0.955402,0.983706,50,1196.92,1146.93,1056.68,929.498,1.02533,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25205_-1.root",OK,1,""
signal,25206,31.064,1478.44,20.6391,0.0192491,28.4585,0.397284,26.6798,0.372452,27.9988,0.390866,27.9988,0.390866,28.4585,0.397284,56.796,1,0.9992,0.952891,0.983844,50,1198.12,1139.13,1050.06,923.862,1.02412,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25206_-1.root",OK,1,""
signal,25207,32.016,1624.05,21.5653,0.017866,29.0153,0.385287,27.227,0.36154,28.5185,0.37869,28.5185,0.37869,29.0153,0.385287,61.145,1,0.9992,0.954712,0.982878,50,1232.64,1174.78,1082.8,952.933,1.02427,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25207_-1.root",OK,1,""
signal,25208,32.167,1236.45,18.8975,0.0251814,31.1355,0.475865,26.7248,0.408452,30.5989,0.467663,30.5989,0.467663,31.1355,0.475865,47.436,1,0.9991,0.873389,0.982765,50,1232.08,1180.47,1088.08,957.553,1.02436,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25208_-1.root",OK,1,""
signal,25210,15.832,777.562,13.1713,0.0364206,28.3193,0.479705,27.14,0.459729,28.1882,0.477485,28.1882,0.477485,28.3193,0.479705,29.004,1,0.9992,0.962815,0.995371,50,627.902,601.384,554.042,484.768,1.01154,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25210_-1.root",OK,1,""
signal,25211,15.991,802.087,13.3223,0.0366402,29.3887,0.488133,28.1353,0.467314,29.2499,0.485828,29.2499,0.485828,29.3887,0.488133,28.865,1,0.9992,0.961893,0.995278,50,634.371,607.547,559.731,489.539,1.0117,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25211_-1.root",OK,1,""
signal,25217,31.954,1438.65,20.5531,0.019195,27.615,0.394519,25.9358,0.37053,27.1429,0.387775,27.1429,0.387775,27.615,0.394519,56.748,1,0.9991,0.955529,0.982906,50,1226.82,1175.67,1083.28,953.464,1.02213,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25217_-1.root",OK,1,""
signal,25218,31.024,1608.79,21.6216,0.017311,27.8497,0.374291,26.1133,0.350954,27.3994,0.368239,27.3994,0.368239,27.8497,0.374291,62.992,1,0.9991,0.953061,0.98383,50,1192.09,1141.87,1052.59,926.344,1.02154,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25218_-1.root",OK,1,""
signal,25219,31.985,1688.4,22.065,0.0168767,28.4946,0.372385,26.7335,0.34937,28.0071,0.366014,28.0071,0.366014,28.4946,0.372385,64.64,1,0.9991,0.954527,0.982891,50,1227.37,1175.87,1083.83,954.072,1.02257,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25219_-1.root",OK,1,""
signal,25220,16.079,861.6,13.7663,0.0339584,29.2586,0.467483,28.0465,0.448116,29.119,0.465252,29.119,0.465252,29.2586,0.467483,31.107,1,0.9992,0.963169,0.995227,50,637.665,610.838,562.728,492.404,1.01177,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25220_-1.root",OK,1,""
signal,25221,16.111,776.325,13.173,0.0371862,28.8686,0.489855,27.6408,0.469021,28.7302,0.487507,28.7302,0.487507,28.8686,0.489855,28.44,1,0.9992,0.96208,0.995207,50,639.051,612.389,563.931,493.386,1.01179,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25221_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,28.7475,0.127062,44.7002,10,4.47002,2.46299e-06,11
