category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25434,56.506,28.921,19.056,0.193073,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25434_-1.root",OK
signal,25435,53.279,27.26,19.3666,0.192219,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25435_-1.root",OK
signal,25436,58.873,30.218,19.6484,0.188072,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25436_-1.root",OK
signal,25437,57.544,29.477,19.3391,0.193357,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25437_-1.root",OK
signal,25438,29.291,14.836,19.0926,0.251188,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25438_-1.root",OK
signal,25439,28.038,14.205,19.687,0.271945,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25439_-1.root",OK
signal,25442,55.125,28.261,19.4354,0.183174,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25442_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-0.341883283273
# FIT_aerr,0.041454451172
# FIT_b,0.518435176057
# FIT_berr,0.000829283816843
# FIT_b_over_berr,625.16012676
# FIT_chi2,0.00380922082722
# FIT_ndf,5
# FIT_chi2ndf,0.000761844165443
# FIT_prob,0.999999952428
